EQUIPO;OPERACION;ORDEN;DATEVALUE
14246;Centrifugació 1 ini;10005144;05-26-2023 13:45:41
14246;Centrifugació 1 fi;10005144;05-26-2023 15:26:57
14246;Centrifugació 2 ini;10005144;05-26-2023 16:56:30
14246;Centrifugació 2 fi;10005144;05-26-2023 18:18:12
14246;Centrifugació 1 ini;10005176;07-07-2023 11:53:00
14246;Centrifugació 1 fi;10005176;07-07-2023 15:06:00
14246;Centrifugació 2 ini;10005176;07-07-2023 16:15:00
14246;Centrifugació 2 fi;10005176;07-07-2023 17:58:00
14246;Centrifugació 1 ini;10005183;09-08-2023 12:48:00
14246;Centrifugació 1 fi;10005183;09-08-2023 16:18:00
14246;Centrifugació 2 ini;10005183;09-08-2023 17:11:00
14246;Centrifugació 2 fi;10005183;09-08-2023 18:47:00
14246;Centrifugació 1 ini;10005233;11-23-2023 08:29:16
14246;Centrifugació 1 fi;10005233;11-23-2023 12:01:12
14246;Centrifugació 2 ini;10005233;11-23-2023 12:48:13
14246;Centrifugació 2 fi;10005233;11-23-2023 14:24:31
14246;Centrifugació 1 ini;10005271;02-23-2024 07:42:54
14246;Centrifugació 1 fi;10005271;02-23-2024 11:18:07
14246;Centrifugació 2 ini;10005271;02-23-2024 12:21:27
14246;Centrifugació 2 fi;10005271;02-23-2024 13:59:37
14246;Centrifugació 1 ini;200179217;03-23-2023 08:00:49
14246;Centrifugació 1 fi;200179217;03-23-2023 10:26:25
14246;Centrifugació 2 ini;200179217;03-23-2023 12:11:04
14246;Centrifugació 2 fi;200179217;03-23-2023 13:34:10
14246;Centrifugació 1 ini;200182430;03-30-2023 07:15:01
14246;Centrifugació 1 fi;200182430;03-30-2023 10:06:43
14246;Centrifugació 2 ini;200182430;03-30-2023 11:20:05
14246;Centrifugació 2 fi;200182430;03-30-2023 12:53:49
14246;Centrifugació 1 ini;200182432;03-31-2023 07:09:07
14246;Centrifugació 1 fi;200182432;03-31-2023 10:18:01
14246;Centrifugació 1 ini;200182433;04-06-2023 11:39:00
14246;Centrifugació 1 fi;200182433;04-06-2023 14:51:00
14246;Centrifugació 2 ini;200182433;04-06-2023 15:51:00
14246;Centrifugació 2 fi;200182433;04-06-2023 17:39:00
14246;Centrifugació 1 ini;200182437;04-20-2023 07:38:27
14246;Centrifugació 1 fi;200182437;04-20-2023 10:23:06
14246;Centrifugació 2 ini;200182437;04-20-2023 11:48:47
14246;Centrifugació 2 fi;200182437;04-20-2023 13:34:55
14246;Centrifugació 1 ini;200182441;04-27-2023 12:39:25
14246;Centrifugació 1 fi;200182441;04-27-2023 15:51:41
14246;Centrifugació 2 ini;200182441;04-27-2023 17:00:41
14246;Centrifugació 2 fi;200182441;04-27-2023 18:54:59
14246;Centrifugació 1 ini;200182445;06-01-2023 11:20:00
14246;Centrifugació 1 fi;200182445;06-01-2023 14:16:00
14246;Centrifugació 2 ini;200182445;06-01-2023 17:20:00
14246;Centrifugació 2 fi;200182445;06-01-2023 19:03:00
14246;Centrifugació 1 ini;200184603;06-14-2023 10:09:13
14246;Centrifugació 1 fi;200184603;06-14-2023 13:48:40
14246;Centrifugació 2 ini;200184603;06-14-2023 14:56:37
14246;Centrifugació 2 fi;200184603;06-14-2023 16:29:50
14246;Centrifugació 1 ini;200184606;06-15-2023 08:37:59
14246;Centrifugació 1 fi;200184606;06-15-2023 12:42:12
14246;Centrifugació 2 ini;200184606;06-15-2023 13:54:33
14246;Centrifugació 2 fi;200184606;06-15-2023 15:37:23
14246;Centrifugació 1 ini;200184609;06-22-2023 08:05:20
14246;Centrifugació 1 fi;200184609;06-22-2023 11:34:00
14246;Centrifugació 1 ini;200184612;06-23-2023 10:16:50
14246;Centrifugació 1 fi;200184612;06-23-2023 13:44:39
14246;Centrifugació 2 ini;200184612;06-23-2023 14:55:36
14246;Centrifugació 2 fi;200184612;06-23-2023 16:33:39
14246;Centrifugació 1 ini;200185568;05-24-2023 09:18:46
14246;Centrifugació 1 fi;200185568;05-24-2023 12:30:07
14246;Centrifugació 2 ini;200185568;05-24-2023 13:47:51
14246;Centrifugació 2 fi;200185568;05-24-2023 15:21:17
14246;Centrifugació 1 ini;200185569;05-25-2023 10:04:18
14246;Centrifugació 1 fi;200185569;05-25-2023 13:16:00
14246;Centrifugació 2 ini;200185569;05-25-2023 14:19:12
14246;Centrifugació 2 fi;200185569;05-25-2023 15:39:47
14246;Centrifugació 1 ini;200187022;06-28-2023 07:00:04
14246;Centrifugació 1 fi;200187022;06-28-2023 10:27:29
14246;Centrifugació 2 ini;200187022;06-28-2023 11:33:07
14246;Centrifugació 2 fi;200187022;06-28-2023 13:09:26
14246;Centrifugació 1 ini;200187024;06-29-2023 07:53:42
14246;Centrifugació 1 fi;200187024;06-29-2023 11:26:52
14246;Centrifugació 2 ini;200187024;06-29-2023 13:05:15
14246;Centrifugació 2 fi;200187024;06-29-2023 14:23:14
14246;Centrifugació 1 ini;200187026;07-05-2023 07:35:00
14246;Centrifugació 1 fi;200187026;07-05-2023 10:48:00
14246;Centrifugació 2 ini;200187026;07-05-2023 11:47:00
14246;Centrifugació 2 fi;200187026;07-05-2023 13:45:00
14246;Centrifugació 1 ini;200187027;07-06-2023 08:09:00
14246;Centrifugació 1 fi;200187027;07-06-2023 11:30:00
14246;Centrifugació 2 ini;200187027;07-06-2023 12:17:00
14246;Centrifugació 2 fi;200187027;07-06-2023 13:50:00
14246;Centrifugació 1 ini;200187028;07-12-2023 10:41:00
14246;Centrifugació 1 fi;200187028;07-12-2023 14:06:00
14246;Centrifugació 2 ini;200187028;07-12-2023 15:22:00
14246;Centrifugació 2 fi;200187028;07-12-2023 17:22:00
14246;Centrifugació 1 ini;200187029;07-13-2023 07:38:13
14246;Centrifugació 1 fi;200187029;07-13-2023 10:36:25
14246;Centrifugació 2 ini;200187029;07-13-2023 11:46:38
14246;Centrifugació 2 fi;200187029;07-13-2023 13:27:52
14246;Centrifugació 1 ini;200187032;07-19-2023 09:04:55
14246;Centrifugació 1 fi;200187032;07-19-2023 12:37:52
14246;Centrifugació 2 ini;200187032;07-19-2023 13:38:07
14246;Centrifugació 2 fi;200187032;07-19-2023 15:11:07
14246;Centrifugació 1 ini;200187033;07-20-2023 07:57:30
14246;Centrifugació 1 fi;200187033;07-20-2023 10:53:42
14246;Centrifugació 2 ini;200187033;07-20-2023 13:11:51
14246;Centrifugació 2 fi;200187033;07-20-2023 14:49:31
14246;Centrifugació 1 ini;200188841;07-26-2023 07:50:11
14246;Centrifugació 1 fi;200188841;07-26-2023 11:19:24
14246;Centrifugació 2 ini;200188841;07-26-2023 12:52:07
14246;Centrifugació 2 fi;200188841;07-26-2023 14:31:46
