LOTE;FECHA;TURBIDEZ;VIABILIDAD;GLUCOSA_G/L
23019;21/03/2023 07:30;17,28;8333333,33;1,74
23019;21/03/2023 11:00;17,28;13973333,33;1,97
23019;21/03/2023 14:00;18,4;16880000,00;1,92
23019;21/03/2023 18:00;19,76;24746666,67;1,88
23019;22/03/2023 07:00;39,12;100000000,00;1,57
23019;22/03/2023 11:30;51,12;133866666,67;1,62
23019;22/03/2023 15:30;62,32;137600000,00;1,44
23019;22/03/2023 18:30;69,6;177066666,67;1,08
23019;22/03/2023 21:00;77,44;152000000,00;0,98
23019;23/03/2023 06:30;91,2;185333333,33;0,21
23020;21/03/2023 07:30;18,8;7456000,00;1,75
23020;21/03/2023 11:00;19,6;13706666,67;1,94
23020;21/03/2023 14:00;20,16;17680000,00;1,92
23020;21/03/2023 18:00;21,44;24773333,33;1,94
23020;22/03/2023 07:00;39,52;99733333,33;1,7
23020;22/03/2023 11:30;52,72;137066666,67;1,6
23020;22/03/2023 15:30;61,6;4036266666,67;1,43
23020;22/03/2023 18:30;70,16;159200000,00;1,06
23020;22/03/2023 21:00;74,72;157333333,33;1,06
23020;23/03/2023 06:30;91,2;180000000,00;0,31
23021;22/03/2023 07:30;16,16;8906666,67;1,73
23021;22/03/2023 11:30;16,48;11226666,67;1,8
23021;22/03/2023 15:30;17,6;14986666,67;2,04
23021;22/03/2023 18:30;19,2;24586666,67;1,84
23021;22/03/2023 21:00;19,52;35706666,67;1,98
23021;23/03/2023 07:30;34;91466666,67;1,84
23021;23/03/2023 11:30;45,28;114933333,33;1,62
23021;23/03/2023 14:30;54,24;158933333,33;1,53
23021;23/03/2023 18:30;64,4;153600000,00;1,28
23021;23/03/2023 21:00;70,88;173333333,33;1,18
23021;24/03/2023 06:30;86,4;245066666,67;0,28
23022;22/03/2023 07:30;18,48;7853333,33;1,73
23022;22/03/2023 11:30;18,64;14613333,33;2,02
23022;22/03/2023 15:30;19,84;20693333,33;2,05
23022;22/03/2023 18:30;20,88;31386666,67;1,79
23022;22/03/2023 21:00;21,84;40346666,67;2,01
23022;23/03/2023 07:30;36,16;105866666,67;1,85
23022;23/03/2023 11:30;47,04;147733333,33;1,63
23022;23/03/2023 14:00;52,24;170933333,33;1,7
23022;23/03/2023 18:30;61,84;182933333,33;1,3
23022;23/03/2023 21:00;65,76;171733333,33;1,19
23022;24/03/2023 06:30;83,2;228800000,00;0,37
23023;28/03/2023 08:00;17,12;5802666,67;1,8
23023;28/03/2023 12:00;17,52;11200000,00;2,19
23023;28/03/2023 16:00;18,72;19893333,33;2,15
23023;28/03/2023 20:00;19,84;32266666,67;2,02
23023;29/03/2023 08:00;32,08;98933333,33;1,9
23023;29/03/2023 12:00;39,92;135733333,33;1,78
23023;29/03/2023 16:00;47,6;132533333,33;1,65
23023;29/03/2023 20:00;55,28;113866666,67;1,23
23023;30/03/2023 06:15;72,88;179733333,33;0,69
23023;30/03/2023 07:30;73,2;194933333,33;0,61
23023;30/03/2023 09:30;74,4;132533333,33;0,52
23023;30/03/2023 12:00;81,6;212000000,00;0,46
23024;28/03/2023 08:00;16,56;6802666,67;1,79
23024;28/03/2023 12:00;16,72;12480000,00;2,16
23024;28/03/2023 16:00;18,56;16080000,00;2,12
23024;28/03/2023 20:00;19,6;34346666,67;2,1
23024;29/03/2023 08:00;32,88;112533333,33;1,85
23024;29/03/2023 12:00;44,16;117866666,67;1,78
23024;29/03/2023 16:00;55,2;166400000,00;1,54
23024;29/03/2023 20:00;65,68;184800000,00;NA
23024;30/03/2023 06:15;80,8;199466666,67;0,48
23024;30/03/2023 07:30;78,96;243200000,00;0,43
23024;30/03/2023 09:30;77,12;160800000,00;0,44
23025;29/03/2023 07:30;17,2;6266666,67;1,97
23025;29/03/2023 11:30;18,96;8960000,00;1,94
23025;29/03/2023 15:30;19,6;18933333,33;1,87
23025;29/03/2023 19:30;21,28;27653333,33;1,8
23025;30/03/2023 08:00;37,12;98133333,33;1,64
23025;30/03/2023 12:00;51,12;114133333,33;1,59
23025;30/03/2023 16:00;58,88;164800000,00;1,54
23025;30/03/2023 20:00;69,52;176000000,00;1,16
23025;31/03/2023 06:15;84;203466666,67;0,34
23025;31/03/2023 07:30;87,2;198933333,33;0,21
23026;29/03/2023 07:30;18;5306666,67;1,83
23026;29/03/2023 11:30;18,8;9040000,00;2,11
23026;29/03/2023 15:30;19,2;16666666,67;1,78
23026;29/03/2023 19:30;20,64;25733333,33;1,84
23026;30/03/2023 08:00;33,2;98933333,33;1,66
23026;30/03/2023 12:00;48,64;102666666,67;1,72
23026;30/03/2023 16:00;54,08;122133333,33;1,6
23026;30/03/2023 20:00;65,2;163733333,33;1,37
23026;31/03/2023 06:15;79,6;204800000,00;0,57
23026;31/03/2023 07:30;81,2;206400000,00;0,41
23027;04/04/2023 10:30;16,88;5525333,33;1,68
23027;04/04/2023 14:30;17,12;6226666,67;1,9
23027;04/04/2023 18:30;17,088;12000000,00;1,75
23027;05/04/2023 07:00;22,08;47840000,00;NA
23027;05/04/2023 11:00;26,56;67760000,00;NA
23027;05/04/2023 15:00;31,68;99466666,67;NA
23027;05/04/2023 19:00;40,4;130933333,33;NA
23027;06/04/2023 07:00;59,04;174133333,33;NA
23027;06/04/2023 10:00;66,08;218400000,00;NA
23027;06/04/2023 12:00;68,08;195466666,67;0,84
23028;04/04/2023 10:30;18,56;5146666,67;1,25
23028;04/04/2023 14:30;18,56;7096000,00;1,86
23028;04/04/2023 18:30;18,88;11173333,33;1,87
23028;05/04/2023 07:00;23,84;48880000,00;NA
23028;05/04/2023 11:00;28,08;69653333,33;NA
23028;05/04/2023 15:00;32,56;92266666,67;NA
23028;05/04/2023 19:00;40,32;138933333,33;NA
23028;06/04/2023 07:00;62,88;207733333,33;NA
23028;06/04/2023 10:00;65,52;198933333,33;NA
23028;06/04/2023 12:00;67,2;176000000,00;0,91
23029;18/04/2023 08:00;16,96;5552000,00;1,9
23029;18/04/2023 12:00;17,36;10880000,00;NA
23029;18/04/2023 16:00;18,4;15146666,67;NA
23029;18/04/2023 20:00;20,16;25333333,33;NA
23029;19/04/2023 06:00;32,56;91733333,33;NA
23029;19/04/2023 10:30;41,76;115466666,67;NA
23029;19/04/2023 14:30;53,84;14346666,67;NA
23029;19/04/2023 18:30;67,84;154400000,00;NA
23029;20/04/2023 06:00;85,6;199733333,33;NA
23029;20/04/2023 07:30;85,6;262666666,67;0,22
23030;18/04/2023 08:00;19,36;5440000,00;1,9
23030;18/04/2023 12:00;19,68;10746666,67;NA
23030;18/04/2023 16:00;20,48;14773333,33;NA
23030;18/04/2023 20:00;22,16;28346666,67;NA
23030;19/04/2023 06:00;34,24;82666666,67;NA
23030;19/04/2023 10:30;42,72;123733333,33;NA
23030;19/04/2023 14:30;53,36;129066666,67;NA
23030;19/04/2023 18:30;65,04;150933333,33;NA
23030;20/04/2023 06:00;81,6;173600000,00;NA
23030;20/04/2023 07:30;75,92;178933333,33;0,09
23031;18/04/2023 08:00;18,64;5336000,00;1,9
23031;18/04/2023 12:00;19,12;9600000,00;NA
23031;18/04/2023 16:00;19,92;15306666,67;NA
23031;18/04/2023 20:00;21,6;17760000,00;NA
23031;19/04/2023 06:00;33,04;72960000,00;NA
23031;19/04/2023 10:30;40,08;88266666,67;NA
23031;19/04/2023 14:30;52,32;124800000,00;NA
23031;19/04/2023 18:30;64,56;149066666,67;NA
23031;20/04/2023 06:00;85,6;190666666,67;NA
23031;20/04/2023 07:30;84;97333333,33;0,34
23032;18/04/2023 08:00;18,88;5437333,33;1,9
23032;18/04/2023 12:00;18,24;10693333,33;NA
23032;18/04/2023 16:00;19,76;16080000,00;NA
23032;18/04/2023 20:00;21,52;25120000,00;NA
23032;19/04/2023 06:00;33,04;81280000,00;NA
23032;19/04/2023 10:30;41,6;115466666,67;NA
23032;19/04/2023 14:30;51,44;106400000,00;NA
23032;19/04/2023 18:30;63,76;128426666,67;NA
23032;20/04/2023 06:00;78,4;182666666,67;NA
23032;20/04/2023 07:30;75,68;195733333,33;0,4
23033;25/04/2023 13:00;17,84;5706666,67;1,9
23033;25/04/2023 17:00;18,64;8906666,67;NA
23033;25/04/2023 21:00;19,28;14506666,67;NA
23033;26/04/2023 07:00;23,76;45013333,33;NA
23033;26/04/2023 11:00;28,32;76746666,67;1,9
23033;26/04/2023 15:00;34,32;88000000,00;1,91
23033;26/04/2023 19:00;42,08;118400000,00;1,85
23033;27/04/2023 06:00;56,88;199200000,00;1,35
23033;27/04/2023 08:00;57,84;201066666,67;1,24
23033;27/04/2023 09:00;66,96;251466666,67;1,03
23033;27/04/2023 11:45;69,52;244266666,67;0,95
23033;27/04/2023 12:50;72,48;226933333,33;0,86
23034;25/04/2023 13:00;16,32;5522666,67;NA
23034;25/04/2023 17:00;17,2;7784000,00;NA
23034;25/04/2023 21:00;17,36;13493333,33;NA
23034;26/04/2023 07:00;21,12;42133333,33;NA
23034;26/04/2023 11:00;24,88;73093333,33;2,02
23034;26/04/2023 15:00;29,68;99466666,67;1,87
23034;26/04/2023 19:00;38,56;104000000,00;1,84
23034;27/04/2023 06:00;56,96;191733333,33;1,35
23034;27/04/2023 08:00;60,8;181066666,67;1,25
23034;27/04/2023 09:00;62,48;186666666,67;1,11
23034;27/04/2023 11:45;67,36;227466666,67;1,11
23034;27/04/2023 12:50;69,12;196533333,33;0,88
23035;25/04/2023 08:00;17,76;4237333,33;NA
23035;25/04/2023 12:00;17,76;6234666,67;NA
23035;25/04/2023 16:00;18,32;9920000,00;NA
23035;25/04/2023 20:00;18,8;21893333,33;NA
23035;26/04/2023 07:00;24,16;51333333,33;NA
23035;26/04/2023 11:00;29,12;92266666,67;1,86
23035;26/04/2023 15:00;34,4;134666666,67;2,02
23035;26/04/2023 19:00;42,88;136000000,00;1,59
23035;27/04/2023 06:00;63,12;185066666,67;1,23
23035;27/04/2023 08:00;66,4;176533333,33;1,14
23035;27/04/2023 09:00;59,84;170933333,33;0,63
23035;27/04/2023 09:40;59,76;191466666,67;0,9
23036;22/05/2023 08:00;16,4;4845333,33;2,09
23036;22/05/2023 12:00;16,72;8453333,33;2,14
23036;22/05/2023 16:00;17,2;13333333,33;2,31
23036;22/05/2023 20:00;18,8;13066666,67;2,22
23036;23/05/2023 07:30;28,48;74000000,00;1,96
23036;23/05/2023 11:30;34,24;112266666,67;1,9
23036;23/05/2023 15:30;42,24;83733333,33;1,73
23036;23/05/2023 20:00;50,16;109333333,33;1,56
23036;24/05/2023 06:30;62,08;165333333,33;1,02
23036;24/05/2023 07:45;62,88;188800000,00;0,93
23036;24/05/2023 09:00;65,28;168533333,33;0,9
23036;24/05/2023 11:00;65,92;142400000,00;0,68
23037;22/05/2023 08:00;17,44;5152000,00;2,3
23037;22/05/2023 12:00;18,24;8960000,00;2,37
23037;22/05/2023 16:00;19,52;9813333,33;2,06
23037;22/05/2023 20:00;19,68;22826666,67;2,25
23037;23/05/2023 07:30;28,88;76160000,00;2,24
23037;23/05/2023 11:30;34,08;98933333,33;2,18
23037;23/05/2023 15:30;39,6;76560000,00;1,81
23037;23/05/2023 20:00;47,44;102400000,00;1,72
23037;24/05/2023 06:30;59,68;159466666,67;1,19
23037;24/05/2023 07:45;59,12;154400000,00;0,9
23037;24/05/2023 09:00;60,4;78720000,00;1,12
23037;24/05/2023 09:45;64,24;171200000,00;1,08
23037;24/05/2023 11:00;63,36;143733333,33;0,92
23038;23/05/2023 08:00;15,28;7728000,00;0,53
23038;23/05/2023 12:30;15,52;11866666,67;0,54
23038;23/05/2023 14:40;NA;NA;0,47
23038;23/05/2023 15:40;16,96;15386666,67;1,14
23038;23/05/2023 20:00;18,88;23573333,33;1,59
23038;24/05/2023 07:00;26,88;84800000,00;1,25
23038;24/05/2023 11:00;34,96;117333333,33;1,27
23038;24/05/2023 15:00;41,04;97066666,67;1,18
23038;24/05/2023 19:00;45,2;150933333,33;0,97
23038;25/05/2023 06:30;58,64;157866666,67;0,32
23038;25/05/2023 08:00;64,56;174400000,00;0,62
23038;25/05/2023 09:00;63,92;165066666,67;0,55
23038;25/05/2023 10:00;65,6;172266666,67;1,14
23038;25/05/2023 12:30;67,92;145333333,33;0,87
23039;23/05/2023 08:00;17,84;7824000,00;2,18
23039;23/05/2023 12:30;17,92;10293333,33;2,22
23039;23/05/2023 15:40;19,36;13653333,33;2,35
23039;23/05/2023 20:00;21,2;20400000,00;2,13
23039;24/05/2023 07:00;29,44;77946666,67;2,06
23039;24/05/2023 11:00;33,12;107200000,00;1,72
23039;24/05/2023 15:00;40,96;68240000,00;1,86
23039;24/05/2023 19:00;46,72;111466666,67;1,71
23039;25/05/2023 06:30;62,88;154666666,67;1,19
23039;25/05/2023 08:00;63,12;143200000,00;0,94
23039;25/05/2023 09:00;62,72;149066666,67;0,89
23039;25/05/2023 10:00;62,56;146666666,67;0,98
23039;25/05/2023 12:30;67,2;122666666,67;0,81
P23213;24/05/2023 15:00;19,6;69146666,67;2,06
P23213;24/05/2023 19:00;19,92;14720000,00;2,1
P23213;25/05/2023 06:30;24,8;35893333,33;1,99
P23213;25/05/2023 12:30;34,24;60506666,67;1,78
P23213;25/05/2023 16:30;40,64;70640000,00;1,75
P23213;25/05/2023 20:30;51,28;97333333,33;1,72
P23213;26/05/2023 06:45;72,24;161066666,67;0,88
P23213;26/05/2023 07:45;74,4;169333333,33;0,88
P23213;26/05/2023 10:00;75,44;185333333,33;0,76
P23213;26/05/2023 11:30;77,44;191466666,67;0,55
P23213;26/05/2023 13:00;80;187733333,33;0,47
P23213;26/05/2023 15:00;81,6;185333333,33;0,36
23040;29/05/2023 07:45;13,92;4296000,00;1,25
23040;29/05/2023 11:30;13,92;7570666,67;1,38
23040;29/05/2023 16:00;14,88;14693333,33;1,44
23040;29/05/2023 20:00;15,68;19306666,67;1,51
23040;30/05/2023 06:30;24,48;107200000,00;1,38
