LOTE;FECHA;TURBIDEZ;VIABILIDAD
23019;21/03/2023 06:30;32,8;134400000,00
23020;21/03/2023 06:30;32,8;134400000,00
23021;22/03/2023 06:30;27,8;115200000,00
23022;22/03/2023 06:30;27,8;115200000,00
23023;27/03/2023 07:30;18,2;10880000,00
23023;27/03/2023 11:30;18,8;14960000,00
23023;27/03/2023 15:30;19,2;19920000,00
23023;27/03/2023 19:30;21,2;36480000,00
23023;28/03/2023 06:30;31,7;106400000,00
23024;27/03/2023 07:30;18,2;10880000,00
23024;27/03/2023 11:30;18,8;14960000,00
23024;27/03/2023 15:30;19,2;19920000,00
23024;27/03/2023 19:30;21,2;36480000,00
23024;28/03/2023 06:30;31,7;106400000,00
23025;28/03/2023 07:30;17;5192000,00
23025;28/03/2023 11:30;17,7;7888000,00
23025;28/03/2023 15:30;18,1;12320000,00
23025;28/03/2023 19:30;19;21280000,00
23025;29/03/2023 06:30;27,6;84800000,00
23026;28/03/2023 07:30;17;5192000,00
23026;28/03/2023 11:30;17,7;7888000,00
23026;28/03/2023 15:30;18,1;12320000,00
23026;28/03/2023 19:30;19;21280000,00
23026;29/03/2023 06:30;27,6;84800000,00
23027;03/04/2023 14:00;18,9;4848000,00
23027;03/04/2023 18:00;19;10160000,00
23027;04/04/2023 06:30;21,9;24880000,00
23027;04/04/2023 10:00;23,5;104800000,00
23028;03/04/2023 14:00;18,9;4848000,00
23028;03/04/2023 18:00;19;10160000,00
23028;04/04/2023 06:30;21,9;24880000,00
23028;04/04/2023 10:00;23,5;104800000,00
23029;17/04/2023 08:20;18,4;5618666,67
23029;17/04/2023 12:20;18,2;8586666,67
23029;17/04/2023 16:20;19,3;13893333,33
23029;17/04/2023 20:20;20;18106666,67
23029;18/04/2023 06:15;28;96533333,33
23030;17/04/2023 08:20;18,4;5618666,67
23030;17/04/2023 12:20;18,2;8586666,67
23030;17/04/2023 16:20;19,3;13893333,33
23030;17/04/2023 20:20;20;18106666,67
23030;18/04/2023 06:15;28;96533333,33
23031;17/04/2023 08:20;17,6;5312000,00
23031;17/04/2023 12:20;17,8;9173333,33
23031;17/04/2023 16:20;18,9;12133333,33
23031;17/04/2023 20:20;19,7;19973333,33
23031;18/04/2023 06:15;28,1;105866666,67
23032;17/04/2023 08:20;17,6;5312000,00
23032;17/04/2023 12:20;17,8;9173333,33
