LOTE;ORDEN_ENCADENAMIENTO;LOTE_PARENTAL;ID_BIOREACTOR;FECHA_INICIO;FECHA_FIN;VOLUMEN_INOCULO_UTILIZADO;TURBIDEZ_INICIO_CULTIVO;TURBIDEZ_FIN_CULTIVO;VIABILIDAD_FINAL_CULTIVO;ID_CENTRIFUGA;TURBIDEZ_CENTRIFUGACION_1;TURBIDEZ_CENTRIFUGACION_2;PRODUCTO_1;PRODUCTO_2;
24054;1;NA;14616;2024-04-16 08:12:00;2024-04-18 07:28:00;82;15;86;184800000,00;14246;28;24;;;
24055;1;NA;14614;2024-04-13 08:18:00;2024-04-15 08:30:00;NA;14;74;175200000,00;12912;31;23;;;
24056;1;NA;14615;2024-04-13 08:18:00;2024-04-15 08:15:00;NA;15;82;168000000,00;14246;30;29;;;
24057;1;NA;13170;2024-04-16 08:12:00;2024-04-18 07:41:00;82;18;79;180800000,00;12912;31;25;;;
24058;2;24055;14614;2024-04-15 12:28:00;2024-04-17 08:14:00;87;18;82;144800000,00;12912;26;20;;;
24059;2;24056;14615;2024-04-15 12:27:00;2024-04-17 08:22:00;87;18;78;166400000,00;14246;27;24;;;
24060;1;NA;13169;2024-04-20 09:19:00;2024-04-22 09:12:00;82;26;76;161600000,00;14246;33;18;;;
24061;1;NA;14617;2024-04-20 09:24:00;2024-04-22 09:12:00;82;29;69;148800000,00;12912;28;15;;;
24062;3;24058;14614;2024-04-17 12:05:00;2024-04-19 08:05:00;87;19;80;164800000,00;12912;28;25;;;
24063;1;NA;13170;2024-04-23 10:35:00;2024-04-25 11:14:00;NA;16;69;180800000,00;12912;26;18;;;
24064;1;NA;14616;2024-04-23 10:30:00;2024-04-25 11:10:00;NA;19;64;174400000,00;14246;29;12;;;
24065;2;24060;13169;2024-04-22 13:09:00;2024-04-24 09:25:00;80;18;78;209600000,00;14246;29;25;;;
24066;2;24061;14617;2024-04-22 13:12:00;2024-04-24 09:22:00;80;20;77;118400000,00;12912;27;21;;;
24067;1;NA;14615;2024-04-27 10:01:00;2024-04-29 08:57:00;83;17;77;177600000,00;17825;32;18;;;
24068;3;24065;13169;2024-04-24 13:34:00;2024-04-26 07:11:00;80;21;80;173600000,00;14246;30;22;;;
24069;3;24066;14617;2024-04-24 13:34:00;2024-04-26 11:13:00;80;20;64;160000000,00;12912;32;25;;;
24070;1;NA;13170;2024-04-27 10:01:00;2024-04-29 09:05:00;83;16;82;168000000,00;14246;30;23;;;
24071;1;NA;13170;2024-04-27 10:01:00;2024-04-29 09:05:00;83;16;82;168000000,00;14246;30;23;;;
24072;1;NA;14617;2024-04-30 09:59:00;2024-05-02 07:36:00;80;16;85;195200000,00;12912;30;22;;;
24073;1;NA;13170;2024-05-14 08:47:00;2024-05-16 07:19:00;83;18;78;191200000,00;14246;32;19;;;
24074;1;NA;14615;2024-05-14 08:48:00;2024-05-16 08:08:00;84;19;71;197600000,00;17825;34;22;;;
24075;1;NA;14614;2024-05-18 08:34:00;2024-05-20 08:21:00;82;16;76;163200000,00;14246;27;19;;;
24076;1;NA;14617;2024-05-14 08:50:00;2024-05-16 07:15:00;83;17;76;179200000,00;12912;30;19;;;
24077;1;NA;14617;2024-05-18 08:35:00;2024-05-20 08:20:00;82;16;82;204800000,00;12912;30;25;;;
24078;1;NA;13169;2024-05-21 07:42:00;2024-05-23 07:55:00;82;18;86;172800000,00;17825;34;26;;;
24079;1;NA;14615;2024-05-21 07:44:00;2024-05-23 07:55:00;81;18;75;173600000,00;14246;29;21;;;
24080;2;24074;14614;2024-05-20 12:16:00;2024-05-22 09:19:00;NA;19;89;124000000,00;14246;29;24;;;
24081;2;24076;14617;2024-05-20 12:04:00;2024-05-22 09:16:00;NA;19;80;90400000,00;17825;29;21;;;
24082;1;NA;13170;2024-05-28 07:54:00;2024-05-30 07:06:00;80;19;80;166400000,00;14246;30;18;;;
24083;3;24080;14617;2024-05-22 13:10:00;2024-05-24 10:02:00;NA;18;86;169600000,00;14246;27;24;;;
24084;1;NA;14614;2024-05-25 08:55:00;2024-05-27 08:35:00;85;18;74;180000000,00;17825;30;17;;;
24085;1;NA;14615;2024-05-25 08:55:00;2024-05-27 09:19:00;82;18;75;163200000,00;14246;28;17;;;
24086;1;NA;13169;2024-05-28 07:54:00;2024-05-30 08:10:00;80;16;82;173600000,00;17825;31;24;;;
24087;2;24083;14614;2024-05-27 13:58:00;2024-05-29 09:10:00;NA;20;74;149600000,00;12912;28;19;;;
24088;2;24084;14615;2024-05-27 13:21:00;2024-05-29 09:13:00;NA;17;74;171200000,00;14246;25;19;;;
24089;1;NA;14616;2024-06-01 07:56:00;2024-06-03 08:53:00;83;18;65;158400000,00;12912;27;13;;;
24090;1;NA;14617;2024-06-01 07:56:00;2024-06-03 08:43:00;82;18;71;148000000,00;14246;28;15;;;
24091;3;24086;14614;2024-05-29 12:47:00;2024-05-31 09:39:00;NA;20;74;144800000,00;12912;26;20;;;
24092;1;NA;13169;2024-06-04 07:03:00;2024-06-06 07:50:00;82;14;86;195200000,00;12912;30;28;;;
24093;1;NA;13170;2024-06-04 07:03:00;2024-06-06 08:06:00;82;17;102;223200000,00;17825;39;39;;;
24094;2;24088;14616;2024-06-03 12:23:00;2024-06-05 07:14:00;NA;16;74;214400000,00;12912;24;22;;;
