LOTE;ID_BIOREACTOR;FECHA_INICIO;FECHA_FIN;VOLUMEN_CULTIVO;TURBIDEZ_INICIO_CULTIVO;TURBIDEZ_FINAL_CULTIVO;VIABILIDAD_FINAL_CULTIVO
23019;13171;NA;NA;NA;NA;32,8;134400000,00
23020;13171;NA;NA;NA;NA;32,8;134400000,00
23021;14618;NA;NA;NA;NA;27,84;115200000,00
23022;14618;NA;NA;NA;NA;27,84;115200000,00
23023;14618;27/03/2023 07:22;28/03/2023 07:29;155,2;18,24;31,68;106400000,00
23024;14618;27/03/2023 07:22;28/03/2023 07:29;155,2;18,24;31,68;106400000,00
23025;13172;28/03/2023 07:42;29/03/2023 06:43;157,6;16,96;27,6;84800000,00
23026;13172;28/03/2023 07:42;29/03/2023 06:43;157,6;16,96;27,6;84800000,00
23027;13172;03/04/2023 13:30;04/04/2023 11:35;168;18,88;23,52;104800000,00
23028;13172;03/04/2023 13:30;04/04/2023 11:35;168;18,88;23,52;104800000,00
23029;13172;17/04/2023 08:10;18/04/2023 07:00;162,72;18,4;28;96800000,00
23030;13172;17/04/2023 08:10;18/04/2023 07:00;162,72;18,4;28;96800000,00
23031;14618;17/04/2023 08:30;18/04/2023 07:15;166,08;17,6;28,08;105600000,00
23032;14618;17/04/2023 08:30;18/04/2023 07:15;166,08;17,6;28,08;105600000,00
23033;13172;24/04/2023 13:30;25/04/2023 12:25;165,6;16,96;24,24;104000000,00
23034;13172;24/04/2023 13:30;25/04/2023 12:25;165,6;16,96;24,24;104000000,00
23035;14618;24/04/2023 07:30;25/04/2023 07:30;85,92;18;26,24;81600000,00
23036;13171;21/05/2023 07:50;22/05/2023 07:30;164,4;14,96;21,76;88000000,00
23037;13171;21/05/2023 07:50;22/05/2023 07:30;164,4;14,96;21,76;88000000,00
23038;14618;22/05/2023 07:50;23/05/2023 07:50;168,72;12,32;22,32;115200000,00
23039;14618;22/05/2023 07:50;23/05/2023 07:50;168,72;12,32;22,32;115200000,00
23040;14618;29/05/2023 07:30;30/05/2023 12:00;165,6;13,92;32,32;154400000,00
23041;14618;29/05/2023 07:30;30/05/2023 07:20;165,6;13,92;24,48;107200000,00
23042;13172;30/05/2023 07:30;31/05/2023 06:40;79,2;14,32;24,64;108800000,00
23044;14618;05/06/2023 08:00;06/06/2023 09:20;84;14,48;19,68;75767200,00
23043;14618;11/06/2023 07:35;12/06/2023 07:35;84;13,2;24,24;87200000,00
23045;14618;11/06/2023 07:35;12/06/2023 07:35;81,6;13,2;24,24;87200000,00
23046;13172;12/06/2023 09:00;13/06/2023 07:15;82,8;13,2;23,36;86400000,00
23047;13172;12/06/2023 09:00;13/06/2023 07:15;83,2;13,2;23,36;86400000,00
23048;13171;19/06/2023 07:20;20/06/2023 07:15;165,6;14,16;27,04;86400000,00
23049;13171;19/06/2023 07:20;20/06/2023 07:15;165,6;14,16;27,04;86400000,00
23050;14618;20/06/2023 07:40;21/06/2023 08:00;167,2;14,24;25,2;82400000,00
23051;14618;20/06/2023 07:40;21/06/2023 08:00;167,2;14,24;25,2;82400000,00
23052;13172;25/06/2023 07:30;26/06/2023 07:45;165,6;15,2;28,88;88000000,00
23053;13172;25/06/2023 07:30;26/06/2023 07:45;165,6;15,2;28,88;88000000,00
23054;14618;26/06/2023 07:45;27/06/2023 07:50;163,2;14,56;26;85600000,00
23055;14618;26/06/2023 07:45;27/06/2023 07:50;163,2;14,56;26;85600000,00
23056;13171;02/07/2023 08:35;03/07/2023 08:35;168,8;NA;27,04;112000000,00
23057;13171;02/07/2023 08:35;03/07/2023 08:35;168,8;NA;27,04;112000000,00
23060;14618;03/07/2023 07:30;04/07/2023 07:30;166,4;16,08;27,6;103200000,00
23061;14618;03/07/2023 07:30;04/07/2023 07:30;166,4;16,08;27,6;103200000,00
23062;14618;09/07/2023 07:45;10/07/2023 07:45;166,4;16,16;22,8;101600000,00
