Lote;Material;Lote interno;Lote Proveedor;Qty;Fecha recepción;Fecha traslado
23019;100001;0000737133;AM1798471;72;12/1/23;22/3/23
23019;100002;0000676155;K53821835;72;7/3/22;15/3/23
23019;100003;0000636590;0005065337;4800;27/8/21;13/3/23
23019;100004;0000655968;2414150;320;25/11/21;10/3/23
23019;100005;0000723171;M3889;96;4/11/22;3/3/23
23019;100006;0000676218;C4837;177,6;7/3/22;17/1/23
23019;100007;0000742567;2202239;8352;9/2/23;15/3/23
23019;100008;0000710843;A1673579;144;5/9/22;2/3/23
23019;100001;0000737133;AM1798471;57,6;12/1/23;2/3/23
23019;100009;0000669097;0002124409;7680;1/2/22;17/3/23
23019;100002;0000676155;K53821835;385,984;7/3/22;15/3/23
23019;100010;0000694159;0002066677;96;2/6/22;22/11/22
23019;100011;0000735476;0002219885;3200;3/1/23;15/3/23
23019;100012;0000746139;3009264;7872;27/2/23;1/3/23
23019;100004;0000655968;2414150;80;25/11/21;10/3/23
23019;100005;0000723171;M3889;12,08;4/11/22;3/3/23
23019;100006;0000676218;C4837;22,464;7/3/22;17/1/23
23019;100007;0000742567;2202239;2088;9/2/23;15/3/23
23019;100008;0000710843;A1673579;18,08;5/9/22;2/3/23
23019;100001;0000737133;AM1798471;7,248;12/1/23;2/3/23
23019;100009;0000669097;0002124409;959,984;1/2/22;10/3/23
23019;100002;0000676155;K53821835;48,32;7/3/22;15/3/23
23019;100010;0000694159;0002066677;12,08;2/6/22;22/11/22
23019;100011;0000735476;0002219885;399,992;3/1/23;15/3/23
23019;100012;0000746139;3009264;1969,6;27/2/23;1/3/23
23020;100001;0000737133;AM1798471;72,032;12/1/23;22/3/23
23020;100002;0000676155;K53821835;71,968;7/3/22;15/3/23
23020;100003;0000636590;0005065337;4800;27/8/21;13/3/23
23020;100004;0000655969;2414151;249,2;25/11/21;17/3/23
23020;100004;0000655968;2414150;70,8;25/11/21;10/3/23
23020;100005;0000723171;M3889;96;4/11/22;3/3/23
23020;100006;0000676218;C4837;177,6;7/3/22;17/1/23
23020;100007;0000742567;2202239;8352;9/2/23;15/3/23
23020;100008;0000710843;A1673579;144;5/9/22;2/3/23
23020;100001;0000737133;AM1798471;57,76;12/1/23;2/3/23
23020;100009;0000669097;0002124409;7680;1/2/22;17/3/23
23020;100002;0000676155;K53821835;384;7/3/22;15/3/23
23020;100010;0000694159;0002066677;96;2/6/22;22/11/22
23020;100011;0000735476;0002219885;3200,8;3/1/23;15/3/23
23020;100012;0000746139;3009264;7872;27/2/23;1/3/23
23020;100004;0000655968;2414150;80;25/11/21;10/3/23
23020;100005;0000723171;M3889;12,08;4/11/22;3/3/23
23020;100006;0000676218;C4837;22,464;7/3/22;17/1/23
23020;100007;0000742567;2202239;2088;9/2/23;15/3/23
23020;100008;0000710843;A1673579;18,08;5/9/22;2/3/23
23020;100001;0000737133;AM1798471;7,248;12/1/23;2/3/23
23020;100009;0000669097;0002124409;959,984;1/2/22;10/3/23
23020;100002;0000676155;K53821835;48,32;7/3/22;15/3/23
23020;100010;0000694159;0002066677;12,08;2/6/22;22/11/22
23020;100011;0000735476;0002219885;399,992;3/1/23;15/3/23
23020;100012;0000746139;3009264;1969,6;27/2/23;1/3/23
23021;100001;0000737133;AM1798471;72;12/1/23;22/3/23
23021;100002;0000676155;K53821835;72;7/3/22;15/3/23
23021;100003;0000636590;0005065337;4800;27/8/21;13/3/23
23021;100004;0000655969;2414151;316,8;25/11/21;17/3/23
23021;100005;0000723171;M3889;96;4/11/22;3/3/23
23021;100006;0000676218;C4837;177,6;7/3/22;17/1/23
23021;100007;0000742567;2202239;8352;9/2/23;15/3/23
23021;100008;0000710843;A1673579;144;5/9/22;2/3/23
23021;100001;0000737133;AM1798471;57,6;12/1/23;2/3/23
23021;100009;0000669097;0002124409;7688;1/2/22;17/3/23
23021;100002;0000676155;K53821835;384;7/3/22;15/3/23
23021;100010;0000694159;0002066677;96;2/6/22;22/11/22
23021;100011;0000735476;0002219885;3200;3/1/23;15/3/23
23021;100012;0000746139;3009264;7872;27/2/23;1/3/23
23021;100004;0000655968;2414150;80;25/11/21;10/3/23
23021;100005;0000723171;M3889;12,08;4/11/22;3/3/23
23021;100006;0000676218;C4837;22,464;7/3/22;17/1/23
23021;100007;0000742567;2202239;2088;9/2/23;15/3/23
23021;100008;0000710843;A1673579;18,08;5/9/22;2/3/23
23021;100001;0000737133;AM1798471;7,248;12/1/23;2/3/23
23021;100009;0000669097;0002124409;959,984;1/2/22;10/3/23
23021;100002;0000676155;K53821835;48,32;7/3/22;15/3/23
23021;100010;0000694159;0002066677;12,08;2/6/22;22/11/22
23021;100011;0000735476;0002219885;399,992;3/1/23;15/3/23
23021;100012;0000746139;3009264;1969,6;27/2/23;1/3/23
23022;100001;0000737133;AM1798471;72,704;12/1/23;22/3/23
23022;100002;0000676155;K53821835;72,024;7/3/22;15/3/23
23022;100003;0000636590;0005065337;4800;27/8/21;13/3/23
23022;100004;0000655969;2414151;316,8;25/11/21;17/3/23
23022;100005;0000723171;M3889;96;4/11/22;3/3/23
23022;100006;0000676218;C4837;177,6;7/3/22;17/1/23
23022;100007;0000742567;2202239;8352;9/2/23;15/3/23
23022;100008;0000710843;A1673579;144;5/9/22;2/3/23
23022;100001;0000737133;AM1798471;57,6;12/1/23;2/3/23
23022;100009;0000669097;0002124409;7680;1/2/22;17/3/23
23022;100002;0000676155;K53821835;384;7/3/22;15/3/23
23022;100010;0000694159;0002066677;96;2/6/22;22/11/22
23022;100011;0000735476;0002219885;3200;3/1/23;15/3/23
23022;100012;0000746139;3009264;7872;27/2/23;1/3/23
23022;100004;0000655968;2414150;80;25/11/21;10/3/23
23022;100005;0000723171;M3889;12,08;4/11/22;3/3/23
23022;100006;0000676218;C4837;22,464;7/3/22;17/1/23
23022;100007;0000742567;2202239;2088;9/2/23;15/3/23
23022;100008;0000710843;A1673579;18,08;5/9/22;2/3/23
23022;100001;0000737133;AM1798471;7,248;12/1/23;2/3/23
23022;100009;0000669097;0002124409;959,984;1/2/22;10/3/23
23022;100002;0000676155;K53821835;48,32;7/3/22;15/3/23
23022;100010;0000694159;0002066677;12,08;2/6/22;22/11/22
23022;100011;0000735476;0002219885;399,992;3/1/23;15/3/23
23022;100012;0000746139;3009264;1969,6;27/2/23;1/3/23
23024;100001;0000737133;AM1798471;71,92;12/1/23;22/3/23
23024;100002;0000676155;K53821835;72,24;7/3/22;15/3/23
23024;100003;0000644272;0005070897;4800;4/10/21;24/3/23
23024;100004;0000655974;2414142;247,6;25/11/21;23/3/23
23024;100004;0000655969;2414151;72,4;25/11/21;17/3/23
23024;100005;0000723171;M3889;96,072;4/11/22;3/3/23
23024;100006;0000676218;C4837;177,624;7/3/22;17/1/23
23024;100007;0000742567;2202239;8352;9/2/23;23/3/23
23024;100008;0000710843;A1673579;144,048;5/9/22;27/3/23
23024;100001;0000737133;AM1798471;57,608;12/1/23;22/3/23
23024;100009;0000669097;0002124409;7680;1/2/22;17/3/23
23024;100002;0000676155;K53821835;384,448;7/3/22;15/3/23
23024;100010;0000694159;0002066677;96,912;2/6/22;22/11/22
23024;100011;0000735476;0002219885;3200;3/1/23;15/3/23
23024;100012;0000746139;3009264;7872;27/2/23;1/3/23
23024;100004;0000655969;2414151;80;25/11/21;17/3/23
23024;100005;0000723171;M3889;12,04;4/11/22;3/3/23
23024;100006;0000676218;C4837;22,448;7/3/22;17/1/23
23024;100007;0000742567;2202239;2088,8;9/2/23;23/3/23
23024;100008;0000710843;A1673579;17,96;5/9/22;22/3/23
23024;100001;0000737133;AM1798471;7,16;12/1/23;22/3/23
23024;100009;0000669097;0002124409;960,184;1/2/22;17/3/23
23024;100002;0000676155;K53821835;47,968;7/3/22;15/3/23
23024;100010;0000694159;0002066677;12,096;2/6/22;22/11/22
23024;100011;0000735476;0002219885;400,312;3/1/23;15/3/23
23024;100012;0000746139;3009264;1972,8;27/2/23;1/3/23
23025;100001;0000737133;AM1798471;72,72;12/1/23;22/3/23
23025;100002;0000676155;K53821835;72,32;7/3/22;15/3/23
23025;100003;0000644272;0005070897;4800;4/10/21;24/3/23
23025;100004;0000655974;2414142;318,4;25/11/21;23/3/23
