ID_CENTRIFUGA,ORDEN,DATEVALUE,OPERACION_CENTRIFUGACION_1_FIN,OPERACION_CENTRIFUGACION_1_INICIO,OPERACION_CENTRIFUGACION_2_FIN,OPERACION_CENTRIFUGACION_2_INICIO
14246,10005144,2023-05-26 13:45:41,0,1,0,0
14246,10005144,2023-05-26 15:26:57,1,0,0,0
14246,10005144,2023-05-26 16:56:30,0,0,0,1
14246,10005144,2023-05-26 18:18:12,0,0,1,0
14246,10005176,2023-07-07 11:53:00,0,1,0,0
14246,10005176,2023-07-07 15:06:00,1,0,0,0
14246,10005176,2023-07-07 16:15:00,0,0,0,1
14246,10005176,2023-07-07 17:58:00,0,0,1,0
14246,10005183,2023-09-08 12:48:00,0,1,0,0
14246,10005183,2023-09-08 16:18:00,1,0,0,0
14246,10005183,2023-09-08 17:11:00,0,0,0,1
14246,10005183,2023-09-08 18:47:00,0,0,1,0
14246,10005233,2023-11-23 08:29:16,0,1,0,0
14246,10005233,2023-11-23 12:01:12,1,0,0,0
14246,10005233,2023-11-23 12:48:13,0,0,0,1
14246,10005233,2023-11-23 14:24:31,0,0,1,0
14246,10005271,2024-02-23 07:42:54,0,1,0,0
14246,10005271,2024-02-23 11:18:07,1,0,0,0
14246,10005271,2024-02-23 12:21:27,0,0,0,1
14246,10005271,2024-02-23 13:59:37,0,0,1,0
14246,200179217,2023-03-23 08:00:49,0,1,0,0
14246,200179217,2023-03-23 10:26:25,1,0,0,0
14246,200179217,2023-03-23 12:11:04,0,0,0,1
14246,200179217,2023-03-23 13:34:10,0,0,1,0
14246,200182430,2023-03-30 07:15:01,0,1,0,0
14246,200182430,2023-03-30 10:06:43,1,0,0,0
14246,200182430,2023-03-30 11:20:05,0,0,0,1
14246,200182430,2023-03-30 12:53:49,0,0,1,0
14246,200182432,2023-03-31 07:09:07,0,1,0,0
14246,200182432,2023-03-31 10:18:01,1,0,0,0
14246,200182433,2023-04-06 11:39:00,0,1,0,0
14246,200182433,2023-04-06 14:51:00,1,0,0,0
14246,200182433,2023-04-06 15:51:00,0,0,0,1
14246,200182433,2023-04-06 17:39:00,0,0,1,0
14246,200182437,2023-04-20 07:38:27,0,1,0,0
14246,200182437,2023-04-20 10:23:06,1,0,0,0
14246,200182437,2023-04-20 11:48:47,0,0,0,1
14246,200182437,2023-04-20 13:34:55,0,0,1,0
14246,200182441,2023-04-27 12:39:25,0,1,0,0
14246,200182441,2023-04-27 15:51:41,1,0,0,0
14246,200182441,2023-04-27 17:00:41,0,0,0,1
14246,200182441,2023-04-27 18:54:59,0,0,1,0
14246,200182445,2023-06-01 11:20:00,0,1,0,0
14246,200182445,2023-06-01 14:16:00,1,0,0,0
14246,200182445,2023-06-01 17:20:00,0,0,0,1
14246,200182445,2023-06-01 19:03:00,0,0,1,0
14246,200184603,2023-06-14 10:09:13,0,1,0,0
14246,200184603,2023-06-14 13:48:40,1,0,0,0
14246,200184603,2023-06-14 14:56:37,0,0,0,1
14246,200184603,2023-06-14 16:29:50,0,0,1,0
14246,200184606,2023-06-15 08:37:59,0,1,0,0
14246,200184606,2023-06-15 12:42:12,1,0,0,0
14246,200184606,2023-06-15 13:54:33,0,0,0,1
14246,200184606,2023-06-15 15:37:23,0,0,1,0
14246,200184609,2023-06-22 08:05:20,0,1,0,0
14246,200184609,2023-06-22 11:34:00,1,0,0,0
14246,200184612,2023-06-23 10:16:50,0,1,0,0
14246,200184612,2023-06-23 13:44:39,1,0,0,0
14246,200184612,2023-06-23 14:55:36,0,0,0,1
14246,200184612,2023-06-23 16:33:39,0,0,1,0
14246,200185568,2023-05-24 09:18:46,0,1,0,0
14246,200185568,2023-05-24 12:30:07,1,0,0,0
14246,200185568,2023-05-24 13:47:51,0,0,0,1
14246,200185568,2023-05-24 15:21:17,0,0,1,0
