LOTE,FECHA,TURBIDEZ,VIABILIDAD,GLUCOSA_G/L
23019,2023-03-21 07:30:00,17.28,8333333.33,1.74
23019,2023-03-21 11:00:00,17.28,13973333.33,1.97
23019,2023-03-21 14:00:00,18.4,16880000.0,1.92
23019,2023-03-21 18:00:00,19.76,24746666.67,1.88
23019,2023-03-22 07:00:00,39.12,100000000.0,1.57
23019,2023-03-22 11:30:00,51.12,133866666.67,1.62
23019,2023-03-22 15:30:00,62.32,137600000.0,1.44
23019,2023-03-22 18:30:00,69.6,177066666.67,1.08
23019,2023-03-22 21:00:00,77.44,152000000.0,0.98
23019,2023-03-23 06:30:00,91.2,185333333.33,0.21
23020,2023-03-21 07:30:00,18.8,7456000.0,1.75
23020,2023-03-21 11:00:00,19.6,13706666.67,1.94
23020,2023-03-21 14:00:00,20.16,17680000.0,1.92
23020,2023-03-21 18:00:00,21.44,24773333.33,1.94
23020,2023-03-22 07:00:00,39.52,99733333.33,1.7
23020,2023-03-22 11:30:00,52.72,137066666.67,1.6
23020,2023-03-22 15:30:00,61.6,4036266666.67,1.43
23020,2023-03-22 18:30:00,70.16,159200000.0,1.06
23020,2023-03-22 21:00:00,74.72,157333333.33,1.06
23020,2023-03-23 06:30:00,91.2,180000000.0,0.31
23021,2023-03-22 07:30:00,16.16,8906666.67,1.73
23021,2023-03-22 11:30:00,16.48,11226666.67,1.8
23021,2023-03-22 15:30:00,17.6,14986666.67,2.04
23021,2023-03-22 18:30:00,19.2,24586666.67,1.84
23021,2023-03-22 21:00:00,19.52,35706666.67,1.98
23021,2023-03-23 07:30:00,34.0,91466666.67,1.84
23021,2023-03-23 11:30:00,45.28,114933333.33,1.62
23021,2023-03-23 14:30:00,54.24,158933333.33,1.53
23021,2023-03-23 18:30:00,64.4,153600000.0,1.28
23021,2023-03-23 21:00:00,70.88,173333333.33,1.18
23021,2023-03-24 06:30:00,86.4,245066666.67,0.28
23022,2023-03-22 07:30:00,18.48,7853333.33,1.73
23022,2023-03-22 11:30:00,18.64,14613333.33,2.02
23022,2023-03-22 15:30:00,19.84,20693333.33,2.05
23022,2023-03-22 18:30:00,20.88,31386666.67,1.79
23022,2023-03-22 21:00:00,21.84,40346666.67,2.01
23022,2023-03-23 07:30:00,36.16,105866666.67,1.85
23022,2023-03-23 11:30:00,47.04,147733333.33,1.63
23022,2023-03-23 14:00:00,52.24,170933333.33,1.7
23022,2023-03-23 18:30:00,61.84,182933333.33,1.3
23022,2023-03-23 21:00:00,65.76,171733333.33,1.19
23022,2023-03-24 06:30:00,83.2,228800000.0,0.37
23023,2023-03-28 08:00:00,17.12,5802666.67,1.8
23023,2023-03-28 12:00:00,17.52,11200000.0,2.19
23023,2023-03-28 16:00:00,18.72,19893333.33,2.15
23023,2023-03-28 20:00:00,19.84,32266666.67,2.02
23023,2023-03-29 08:00:00,32.08,98933333.33,1.9
23023,2023-03-29 12:00:00,39.92,135733333.33,1.78
23023,2023-03-29 16:00:00,47.6,132533333.33,1.65
23023,2023-03-29 20:00:00,55.28,113866666.67,1.23
23023,2023-03-30 06:15:00,72.88,179733333.33,0.69
23023,2023-03-30 07:30:00,73.2,194933333.33,0.61
