LOTE,FECHA,TURBIDEZ,VIABILIDAD
23019,2023-03-21 06:30:00,32.8,134400000
23020,2023-03-21 06:30:00,32.8,134400000
23021,2023-03-22 06:30:00,27.8,115200000
23022,2023-03-22 06:30:00,27.8,115200000
23023,2023-03-27 07:30:00,18.2,10880000
23023,2023-03-27 11:30:00,18.8,14960000
23023,2023-03-27 15:30:00,19.2,19920000
23023,2023-03-27 19:30:00,21.2,36480000
23023,2023-03-28 06:30:00,31.7,106400000
23024,2023-03-27 07:30:00,18.2,10880000
23024,2023-03-27 11:30:00,18.8,14960000
23024,2023-03-27 15:30:00,19.2,19920000
23024,2023-03-27 19:30:00,21.2,36480000
23024,2023-03-28 06:30:00,31.7,106400000
23025,2023-03-28 07:30:00,17.0,5192000
23025,2023-03-28 11:30:00,17.7,7888000
23025,2023-03-28 15:30:00,18.1,12320000
23025,2023-03-28 19:30:00,19.0,21280000
23025,2023-03-29 06:30:00,27.6,84800000
23026,2023-03-28 07:30:00,17.0,5192000
23026,2023-03-28 11:30:00,17.7,7888000
23026,2023-03-28 15:30:00,18.1,12320000
23026,2023-03-28 19:30:00,19.0,21280000
23026,2023-03-29 06:30:00,27.6,84800000
23027,2023-04-03 14:00:00,18.9,4848000
23027,2023-04-03 18:00:00,19.0,10160000
23027,2023-04-04 06:30:00,21.9,24880000
23027,2023-04-04 10:00:00,23.5,104800000
23028,2023-04-03 14:00:00,18.9,4848000
23028,2023-04-03 18:00:00,19.0,10160000
23028,2023-04-04 06:30:00,21.9,24880000
23028,2023-04-04 10:00:00,23.5,104800000
23029,2023-04-17 08:20:00,18.4,5618666
23029,2023-04-17 12:20:00,18.2,8586666
23029,2023-04-17 16:20:00,19.3,13893333
23029,2023-04-17 20:20:00,20.0,18106666
23029,2023-04-18 06:15:00,28.0,96533333
23030,2023-04-17 08:20:00,18.4,5618666
23030,2023-04-17 12:20:00,18.2,8586666
23030,2023-04-17 16:20:00,19.3,13893333
23030,2023-04-17 20:20:00,20.0,18106666
23030,2023-04-18 06:15:00,28.0,96533333
23031,2023-04-17 08:20:00,17.6,5312000
23031,2023-04-17 12:20:00,17.8,9173333
23031,2023-04-17 16:20:00,18.9,12133333
23031,2023-04-17 20:20:00,19.7,19973333
23031,2023-04-18 06:15:00,28.1,105866666
23032,2023-04-17 08:20:00,17.6,5312000
23032,2023-04-17 12:20:00,17.8,9173333
23032,2023-04-17 16:20:00,18.9,12133333
23032,2023-04-17 20:20:00,19.7,19973333
23032,2023-04-18 06:15:00,28.1,105866666
23033,2023-04-24 14:00:00,17.0,7506666
23033,2023-04-24 18:00:00,17.0,12960000
23033,2023-04-25 07:30:00,20.9,76506666
23033,2023-04-25 08:30:00,21.2,95093333
23033,2023-04-25 11:00:00,22.8,93600000
23033,2023-04-25 12:15:00,24.2,103733333
23034,2023-04-24 14:00:00,17.0,7506666
23034,2023-04-24 18:00:00,17.0,12960000
23034,2023-04-25 07:30:00,20.9,76506666
23034,2023-04-25 08:30:00,21.2,95093333
23034,2023-04-25 11:00:00,22.8,93600000
23034,2023-04-25 12:15:00,24.2,103733333
23035,2023-04-24 07:30:00,18.0,6133333
23035,2023-04-24 11:30:00,18.1,11173333
23035,2023-04-24 15:30:00,18.9,12933333
23035,2023-04-24 19:30:00,19.9,19893333
23035,2023-04-25 06:00:00,24.8,70106666
23035,2023-04-25 07:30:00,26.2,81253333
23036,2023-05-14 08:00:00,14.2,5186666
23036,2023-05-15 06:30:00,16.4,56693333
23036,2023-05-15 09:00:00,16.5,55653333
23036,2023-05-15 10:45:00,16.4,52613333
23036,2023-05-15 12:00:00,15.9,52933333
23036,2023-05-15 16:00:00,17.8,34880000
23036,2023-05-15 20:00:00,19.0,29466666
23036,2023-05-16 06:30:00,21.2,70266666
23036,2023-05-16 07:50:00,22.0,54880000
23036,2023-05-16 12:00:00,22.2,76000000
23037,2023-05-14 08:00:00,14.2,5186666
23037,2023-05-15 06:30:00,16.4,56693333
23037,2023-05-15 09:00:00,16.5,55653333
23037,2023-05-15 10:45:00,16.4,52613333
23037,2023-05-15 12:00:00,15.9,52933333
23037,2023-05-15 16:00:00,17.8,34880000
23037,2023-05-15 20:00:00,19.0,29466666
23037,2023-05-16 06:30:00,21.2,70266666
23037,2023-05-16 07:50:00,22.0,54880000
23037,2023-05-16 12:00:00,22.2,76000000
23038,2023-05-08 13:20:00,17.0,5064000
23038,2023-05-09 06:30:00,19.3,10960000
23038,2023-05-09 10:30:00,19.2,9680000
23038,2023-05-09 12:45:00,20.3,10346666
23038,2023-05-09 18:00:00,21.0,8720000
23038,2023-05-09 21:00:00,21.2,9493333
23038,2023-05-10 06:30:00,22.5,10746666
23039,2023-05-08 13:20:00,17.0,5064000
23039,2023-05-09 06:30:00,19.3,10960000
23039,2023-05-09 10:30:00,19.2,9680000
23039,2023-05-09 12:45:00,20.3,10346666
23039,2023-05-09 18:00:00,21.0,8720000
23039,2023-05-09 21:00:00,21.2,9493333
23039,2023-05-10 06:30:00,22.5,10746666
23040,2023-05-29 07:45:00,13.9,4296000
23040,2023-05-29 11:30:00,13.9,7570666
23040,2023-05-29 16:00:00,14.9,14693333
23040,2023-05-29 20:00:00,15.7,19306666
23040,2023-05-30 06:30:00,24.5,107200000
23040,2023-05-30 10:30:00,29.3,165600000
23040,2023-05-30 11:45:00,32.3,154666666
23041,2023-05-29 07:45:00,13.9,4296000
23041,2023-05-29 11:30:00,13.9,7570666
23041,2023-05-29 16:00:00,14.9,14693333
23041,2023-05-29 20:00:00,15.7,19306666
23041,2023-05-30 06:30:00,24.5,107200000
23041,2023-05-30 10:30:00,29.3,165600000
23041,2023-05-30 11:45:00,32.3,154666666
23042,2023-05-30 08:00:00,14.3,4917333
23042,2023-05-30 12:00:00,14.3,9786666
23042,2023-05-30 16:00:00,15.5,11493333
23042,2023-05-30 20:00:00,16.7,21360000
23042,2023-05-31 06:30:00,24.6,109066666
23043,2023-06-05 08:15:00,16.1,4741333
23043,2023-06-05 12:15:00,16.4,7160000
23043,2023-06-05 16:15:00,16.5,9840000
23043,2023-06-05 20:15:00,18.3,12426666
23043,2023-06-06 06:00:00,23.8,44586666
23043,2023-06-06 07:40:00,24.2,51946666
23043,2023-06-06 09:00:00,23.6,54880000
23043,2023-06-06 10:00:00,24.8,59200000
23043,2023-06-06 11:30:00,25.2,76853333
23043,2023-06-06 13:00:00,27.2,79280000
23043,2023-06-06 15:00:00,29.1,73653333
23043,2023-06-06 17:00:00,31.4,79493333
23044,2023-06-05 08:15:00,14.5,7112000
23044,2023-06-05 12:15:00,14.7,104533333
23044,2023-06-05 16:15:00,15.5,14506666
23044,2023-06-05 20:15:00,16.2,18693333
23044,2023-06-06 06:00:00,19.6,60480000
23044,2023-06-06 07:40:00,19.8,70266666
23044,2023-06-06 09:00:00,19.7,75733333
23045,2023-06-11 07:50:00,13.2,2701333
23045,2023-06-12 06:30:00,24.2,87466666
23046,2023-06-12 09:15:00,13.2,4562666
23046,2023-06-12 13:00:00,13.7,6328000
23046,2023-06-12 16:30:00,14.2,8906666
23046,2023-06-12 20:30:00,15.4,14906666
23046,2023-06-13 07:00:00,23.4,86666666
23047,2023-06-12 09:15:00,13.2,4562666
23047,2023-06-12 13:00:00,13.7,6328000
23047,2023-06-12 16:30:00,14.2,8906666
23047,2023-06-12 20:30:00,15.4,14906666
23047,2023-06-13 07:00:00,23.4,86666666
P23243,2023-06-12 08:00:00,16.7,4754666
P23243,2023-06-12 12:00:00,18.0,7506666
P23243,2023-06-12 16:30:00,18.1,11520000
P23243,2023-06-12 20:30:00,20.6,20293333
P23243,2023-06-13 07:30:00,35.2,68293333
P23243,2023-06-13 12:00:00,46.3,95733333
P23243,2023-06-13 16:00:00,54.2,114400000
P23243,2023-06-13 20:00:00,62.2,143733333
P23243,2023-06-14 06:30:00,69.4,186400000
P23243,2023-06-14 07:30:00,70.2,174400000
P23243,2023-06-14 08:30:00,72.8,174400000
23048,2023-06-19 07:40:00,14.2,4341333
23048,2023-06-19 11:40:00,14.0,7018666
23048,2023-06-19 15:40:00,15.6,10240000
23048,2023-06-19 19:40:00,16.6,19946666
23048,2023-06-20 06:20:00,27.0,86666666
23049,2023-06-19 07:40:00,14.2,4341333
23049,2023-06-19 11:40:00,14.0,7018666
23049,2023-06-19 15:40:00,15.6,10240000
23049,2023-06-19 19:40:00,16.6,19946666
23049,2023-06-20 06:20:00,27.0,86666666
23050,2023-06-20 08:30:00,14.2,12080000
23050,2023-06-20 12:30:00,14.6,5573333
23050,2023-06-20 16:30:00,15.0,8880000
23050,2023-06-20 20:30:00,16.2,15493333
23050,2023-06-21 06:15:00,23.4,65573333
23050,2023-06-21 07:25:00,25.2,82666666
23051,2023-06-20 08:30:00,14.2,12080000
23051,2023-06-20 12:30:00,14.6,5573333
23051,2023-06-20 16:30:00,15.0,8880000
23051,2023-06-20 20:30:00,16.2,15493333
23051,2023-06-21 06:15:00,23.4,65573333
23051,2023-06-21 07:25:00,25.2,82666666
23052,2023-06-25 07:40:00,15.2,4765333
23052,2023-06-26 06:30:00,28.9,88000000
23053,2023-06-25 07:45:00,15.2,4765333
23053,2023-06-26 06:30:00,28.9,88000000
23054,2023-06-26 08:00:00,14.6,3373333
23054,2023-06-26 12:00:00,15.4,5688000
23054,2023-06-26 16:00:00,16.5,7754666
23054,2023-06-26 20:00:00,17.9,16400000
23054,2023-06-27 06:30:00,25.6,75120000
23054,2023-06-27 07:20:00,26.0,85333333
23055,2023-06-26 08:00:00,14.6,3373333
23055,2023-06-26 12:00:00,15.4,5688000
23055,2023-06-26 16:00:00,16.5,7754666
23055,2023-06-26 20:00:00,17.9,16400000
23055,2023-06-27 06:30:00,25.6,75120000
23055,2023-06-27 07:20:00,26.0,85333333
23059,2023-06-26 08:00:00,16.5,2912000
23059,2023-06-26 12:00:00,16.8,7514666
23059,2023-06-26 16:00:00,17.8,11973333
