LOTE,ORDEN_EN_EL_ENCADENADO,LOTE_PARENTAL,ID_BIOREACTOR,FECHA/HORA_INICIO,FECHA/HORA_FIN,VOLUMEN_DE_INOCULO_UTILIZADO,TURBIDEZ_INICIO_CULTIVO,TURBIDEZ_FIN_CULTIVO,VIABILIDAD_FINAL_CULTIVO,ID_CENTRIFUGA,CENTRIFUGACION_1_TURBIDEZ,CENTRIFUGACION_2_TURBIDEZ,PRODUCTO_1,PRODUCTO_2
24054,1,,14616,2024-04-16 08:12:00,2024-04-18 07:28:00,81.60000000000001,15.44,85.60000000000001,184800000,14246,27.84,23.96,,
24055,1,,14614,2024-04-13 08:18:00,2024-04-15 08:30:00,,14.32,73.67999999999999,175200000,12912,30.960000000000004,23.16,,
24056,1,,14615,2024-04-13 08:18:00,2024-04-15 08:15:00,,14.56,82.4,168000000,14246,29.52,28.880000000000003,,
24057,1,,13170,2024-04-16 08:12:00,2024-04-18 07:41:00,82.4,17.76,78.96000000000001,180800000,12912,31.04,25.32,,
24058,2,24055,14614,2024-04-15 12:28:00,2024-04-17 08:14:00,87.2,18.0,82.4,144800000,12912,26.08,20.36,,
24059,2,24056,14615,2024-04-15 12:27:00,2024-04-17 08:22:00,87.2,18.08,78.4,166400000,14246,26.880000000000003,23.64,,
24060,1,,13169,2024-04-20 09:19:00,2024-04-22 09:12:00,82.4,25.92,76.32000000000001,161600000,14246,32.56,17.919999999999998,,
24061,1,,14617,2024-04-20 09:24:00,2024-04-22 09:12:00,81.60000000000001,28.56,68.96000000000001,148800000,12912,27.760000000000005,14.72,,
24062,3,24058,14614,2024-04-17 12:05:00,2024-04-19 08:05:00,87.2,18.880000000000003,80.0,164800000,12912,27.52,24.64,,
24063,1,,13170,2024-04-23 10:35:00,2024-04-25 11:14:00,,15.52,68.72000000000001,180800000,12912,25.92,18.28,,
24064,1,,14616,2024-04-23 10:30:00,2024-04-25 11:10:00,,18.56,63.760000000000005,174400000,14246,29.360000000000003,12.48,,
24065,2,24060,13169,2024-04-22 13:09:00,2024-04-24 09:25:00,80.0,18.48,77.60000000000001,209600000,14246,29.28,25.16,,
24066,2,24061,14617,2024-04-22 13:12:00,2024-04-24 09:22:00,80.0,19.6,77.44,118400000,12912,27.44,21.44,,
24067,1,,14615,2024-04-27 10:01:00,2024-04-29 08:57:00,82.96000000000001,16.96,76.88,177600000,17825,32.160000000000004,18.2,,
24068,3,24065,13169,2024-04-24 13:34:00,2024-04-26 07:11:00,80.0,21.200000000000003,80.0,173600000,14246,30.0,22.24,,
24069,3,24066,14617,2024-04-24 13:34:00,2024-04-26 11:13:00,80.0,19.92,64.4,160000000,12912,31.760000000000005,25.36,,
24070,1,,13170,2024-04-27 10:01:00,2024-04-29 09:05:00,82.96000000000001,16.400000000000002,81.60000000000001,168000000,14246,30.0,22.52,,
24071,1,,13170,2024-04-27 10:01:00,2024-04-29 09:05:00,82.96000000000001,16.400000000000002,81.60000000000001,168000000,14246,30.0,22.52,,
24072,1,,14617,2024-04-30 09:59:00,2024-05-02 07:36:00,80.4,16.16,84.80000000000001,195200000,12912,30.480000000000004,22.36,,
24073,1,,13170,2024-05-14 08:47:00,2024-05-16 07:19:00,83.2,18.48,78.4,191200000,14246,31.92,19.28,,
24074,1,,14615,2024-05-14 08:48:00,2024-05-16 08:08:00,83.60000000000001,18.72,71.36,197600000,17825,34.4,22.28,,
24075,1,,14614,2024-05-18 08:34:00,2024-05-20 08:21:00,82.4,15.76,76.16000000000001,163200000,14246,26.56,19.44,,
24076,1,,14617,2024-05-14 08:50:00,2024-05-16 07:15:00,83.2,17.12,75.52000000000001,179200000,12912,29.680000000000003,18.72,,
