LOTE,ORDEN_EN_EL_ENCADENADO,LOTE_PARENTAL,ID_BIOREACTOR,FECHA/HORA_INICIO,FECHA/HORA_FIN,VOLUMEN_DE_INOCULO_UTILIZADO,TURBIDEZ_INICIO_CULTIVO,TURBIDEZ_FIN_CULTIVO,VIABILIDAD_FINAL_CULTIVO,ID_CENTRIFUGA,CENTRIFUGACION_1_TURBIDEZ,CENTRIFUGACION_2_TURBIDEZ,PRODUCTO_1,PRODUCTO_2
23019,1,,14615,2023-03-21 07:30:00,2023-03-23 06:30:00,82.4,17.28,91.2,184000000.0,17825,,,1747.92,6.0
23020,1,,14616,2023-03-21 07:30:00,2023-03-23 06:30:00,80.4,18.8,91.2,181600000.0,14246,,,1676.16,6.56
23021,1,,13170,2023-03-22 07:30:00,2023-03-24 06:30:00,66.4,16.16,86.4,248000000.0,17825,,,1928.496,8.08
23022,1,,14614,2023-03-22 07:30:00,2023-03-24 06:30:00,85.60000000000001,18.48,83.2,229600000.0,12912,,,1782.8000000000002,5.920000000000001
23023,1,,14615,2023-03-28 07:27:00,2023-03-30 10:00:00,77.60000000000001,17.12,74.4,132800000.0,17825,26.56,20.880000000000003,1861.84,2.9600000000000004
23024,1,,14616,2023-03-28 07:24:00,2023-03-30 07:23:00,76.0,16.56,80.80000000000001,199200000.0,14246,24.56,10.4,2161.1200000000003,2.8000000000000003
23025,1,,13170,2023-03-29 07:09:00,2023-03-31 07:29:00,77.2,17.76,87.2,199200000.0,17825,30.64,29.360000000000003,2044.7200000000005,4.48
23026,1,,14614,2023-03-29 07:29:00,2023-03-31 07:38:00,78.80000000000001,18.24,81.2,206400000.0,14246,26.480000000000004,11.6,2263.2000000000003,3.44
23027,1,,14615,2023-04-04 10:32:00,2023-04-06 12:30:00,83.2,16.880000000000003,68.08,195200000.0,14246,26.24,9.840000000000002,1407.68,4.08
23028,1,,14616,2023-04-04 10:34:00,2023-04-06 12:32:00,83.60000000000001,18.56,67.2,176000000.0,17825,27.28,12.16,1373.2,4.720000000000001
23029,1,,13170,2023-04-18 07:30:00,2023-04-20 07:30:00,80.56,16.96,85.60000000000001,262400000.0,6379,27.84,13.36,2063.68,6.720000000000001
23030,1,,14614,2023-04-18 07:30:00,2023-04-20 07:30:00,81.36000000000001,19.36,76.0,179200000.0,12912,28.72,12.56,2019.68,5.84
23031,1,,14615,2023-04-18 07:30:00,2023-04-20 07:30:00,82.24000000000001,18.64,84.0,97600000.0,14246,29.52,,1816.08,6.16
