LOTE,FECHA/HORA_INICIO,FECHA/HORA_FIN,PH_MAS_BAJO_1,PH_MAS_BAJO_2,TURBIDEZ_PH_BAJO_1,TURBIDEZ_PH_BAJO_2
23023,2023-03-26 05:00:00,2023-03-27 07:21:00,5.496,5.504,28.32,27.92
23024,2023-03-26 05:00:00,2023-03-27 07:21:00,5.496,5.504,28.32,27.92
23025,2023-03-17 06:00:00,2023-03-28 07:42:00,5.48,5.5200000000000005,26.56,26.96
23026,2023-03-17 06:00:00,2023-03-28 07:42:00,5.48,5.5200000000000005,26.56,26.96
23027,2023-04-02 05:00:00,2023-04-03 13:30:00,5.384,5.4,33.84,32.480000000000004
23028,2023-04-02 05:00:00,2023-04-03 13:30:00,5.384,5.4,33.84,32.480000000000004
23029,2023-04-15 05:30:00,2023-04-16 06:30:00,5.5200000000000005,5.5200000000000005,30.0,30.32
23030,2023-04-15 05:30:00,2023-04-16 06:30:00,5.5200000000000005,5.5200000000000005,30.0,30.32
23031,2023-04-15 05:30:00,2023-04-16 06:30:00,5.5120000000000005,5.5200000000000005,32.96,32.080000000000005
23032,2023-04-15 05:30:00,2023-04-16 06:30:00,5.5120000000000005,5.5200000000000005,32.96,32.080000000000005
23033,2023-04-23 05:00:00,2023-03-24 13:30:00,5.392,5.448,29.44,28.08
23034,2023-04-23 05:00:00,2023-03-24 13:30:00,5.392,5.448,29.44,28.08
23035,2023-04-23 05:00:00,2023-03-24 07:30:00,5.5200000000000005,5.5200000000000005,25.680000000000003,26.56
23036,2023-05-20 05:00:00,2023-05-21 07:50:00,5.384,5.464,35.44,32.96
23037,2023-05-20 05:00:00,2023-05-21 07:50:00,5.384,5.464,35.44,32.96
23038,2023-05-21 05:00:00,2023-05-22 07:50:00,5.5520000000000005,5.5600000000000005,24.4,25.28
23039,2023-05-21 05:00:00,2023-05-22 07:50:00,5.5520000000000005,5.5600000000000005,24.4,25.28
23040,2023-05-28 05:00:00,2023-05-29 07:30:00,5.432,5.48,33.68,25.040000000000003
23041,2023-05-28 05:00:00,2023-05-29 07:30:00,5.432,5.48,33.68,25.040000000000003
23042,2023-05-29 05:00:00,2023-05-30 07:30:00,5.472,5.5120000000000005,27.12,24.8
23044,2023-06-04 05:00:00,2023-06-05 08:00:00,5.488,5.5520000000000005,30.480000000000004,26.8
23043,2023-06-10 05:00:00,2023-06-11 07:35:00,5.44,5.5120000000000005,31.6,31.44
23045,2023-06-10 05:00:00,2023-06-11 07:35:00,5.44,5.5120000000000005,31.6,31.44
23046,2023-06-11 05:00:00,2023-06-12 09:00:00,5.5680000000000005,5.5840000000000005,26.4,28.64
23047,2023-06-11 05:00:00,2023-06-12 09:00:00,5.5680000000000005,5.5840000000000005,26.4,28.64
23048,2023-06-18 05:00:00,2023-06-19 07:15:00,5.5120000000000005,5.5200000000000005,29.200000000000003,28.72
23049,2023-06-18 05:00:00,2023-06-19 07:15:00,5.5120000000000005,5.5200000000000005,29.200000000000003,28.72
23050,2023-06-19 05:00:00,2023-06-20 07:30:00,5.408,5.488,26.960000000000004,25.760000000000005
23051,2023-06-19 05:00:00,2023-06-20 07:30:00,5.408,5.488,26.960000000000004,25.760000000000005
23052,2023-06-24 05:00:00,2023-06-25 07:30:00,5.456,5.464,26.960000000000004,49.2
23053,2023-06-24 05:00:00,2023-06-25 07:30:00,5.456,5.464,26.960000000000004,49.2
23054,2023-06-25 05:00:00,2023-06-26 07:45:00,5.496,5.5120000000000005,28.960000000000004,28.72
23055,2023-06-25 05:00:00,2023-06-26 07:45:00,5.496,5.5120000000000005,28.960000000000004,28.72
