LOTE,MATERIAL,LOTE_INTERNO,LOTE_PROVEEDOR,QTY,FECHA_RECEPCION,FECHA_TRASLADO
23019,100001,737133,AM1798471,72.0,2023-01-12 00:00:00,2023-03-22 00:00:00
23019,100002,676155,K53821835,72.0,2022-03-07 00:00:00,2023-03-15 00:00:00
23019,100003,636590,0005065337,4800.0,2021-08-27 00:00:00,2023-03-13 00:00:00
23019,100004,655968,2414150,320.0,2021-11-25 00:00:00,2023-03-10 00:00:00
23019,100005,723171,M3889,96.0,2022-11-04 00:00:00,2023-03-03 00:00:00
23019,100006,676218,C4837,177.60000000000002,2022-03-07 00:00:00,2023-01-17 00:00:00
23019,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-15 00:00:00
23019,100008,710843,A1673579,144.0,2022-09-05 00:00:00,2023-03-02 00:00:00
23019,100001,737133,AM1798471,57.6,2023-01-12 00:00:00,2023-03-02 00:00:00
23019,100009,669097,0002124409,7680.0,2022-02-01 00:00:00,2023-03-17 00:00:00
23019,100002,676155,K53821835,385.984,2022-03-07 00:00:00,2023-03-15 00:00:00
23019,100010,694159,0002066677,96.0,2022-06-02 00:00:00,2022-11-22 00:00:00
23019,100011,735476,0002219885,3200.0,2023-01-03 00:00:00,2023-03-15 00:00:00
23019,100012,746139,3009264,7872.0,2023-02-27 00:00:00,2023-03-01 00:00:00
23019,100004,655968,2414150,80.0,2021-11-25 00:00:00,2023-03-10 00:00:00
23019,100005,723171,M3889,12.08,2022-11-04 00:00:00,2023-03-03 00:00:00
23019,100006,676218,C4837,22.464,2022-03-07 00:00:00,2023-01-17 00:00:00
23019,100007,742567,2202239,2088.0,2023-02-09 00:00:00,2023-03-15 00:00:00
23019,100008,710843,A1673579,18.08,2022-09-05 00:00:00,2023-03-02 00:00:00
23019,100001,737133,AM1798471,7.248000000000001,2023-01-12 00:00:00,2023-03-02 00:00:00
23019,100009,669097,0002124409,959.984,2022-02-01 00:00:00,2023-03-10 00:00:00
23019,100002,676155,K53821835,48.32,2022-03-07 00:00:00,2023-03-15 00:00:00
23019,100010,694159,0002066677,12.08,2022-06-02 00:00:00,2022-11-22 00:00:00
23019,100011,735476,0002219885,399.992,2023-01-03 00:00:00,2023-03-15 00:00:00
23019,100012,746139,3009264,1969.6,2023-02-27 00:00:00,2023-03-01 00:00:00
23020,100001,737133,AM1798471,72.03200000000001,2023-01-12 00:00:00,2023-03-22 00:00:00
23020,100002,676155,K53821835,71.968,2022-03-07 00:00:00,2023-03-15 00:00:00
23020,100003,636590,0005065337,4800.0,2021-08-27 00:00:00,2023-03-13 00:00:00
23020,100004,655969,2414151,249.2,2021-11-25 00:00:00,2023-03-17 00:00:00
23020,100004,655968,2414150,70.8,2021-11-25 00:00:00,2023-03-10 00:00:00
23020,100005,723171,M3889,96.0,2022-11-04 00:00:00,2023-03-03 00:00:00
23020,100006,676218,C4837,177.60000000000002,2022-03-07 00:00:00,2023-01-17 00:00:00
23020,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-15 00:00:00
23020,100008,710843,A1673579,144.0,2022-09-05 00:00:00,2023-03-02 00:00:00
23020,100001,737133,AM1798471,57.760000000000005,2023-01-12 00:00:00,2023-03-02 00:00:00
23020,100009,669097,0002124409,7680.0,2022-02-01 00:00:00,2023-03-17 00:00:00
23020,100002,676155,K53821835,384.0,2022-03-07 00:00:00,2023-03-15 00:00:00
23020,100010,694159,0002066677,96.0,2022-06-02 00:00:00,2022-11-22 00:00:00
23020,100011,735476,0002219885,3200.8,2023-01-03 00:00:00,2023-03-15 00:00:00
23020,100012,746139,3009264,7872.0,2023-02-27 00:00:00,2023-03-01 00:00:00
23020,100004,655968,2414150,80.0,2021-11-25 00:00:00,2023-03-10 00:00:00
23020,100005,723171,M3889,12.08,2022-11-04 00:00:00,2023-03-03 00:00:00
23020,100006,676218,C4837,22.464,2022-03-07 00:00:00,2023-01-17 00:00:00
23020,100007,742567,2202239,2088.0,2023-02-09 00:00:00,2023-03-15 00:00:00
23020,100008,710843,A1673579,18.08,2022-09-05 00:00:00,2023-03-02 00:00:00
23020,100001,737133,AM1798471,7.248000000000001,2023-01-12 00:00:00,2023-03-02 00:00:00
23020,100009,669097,0002124409,959.984,2022-02-01 00:00:00,2023-03-10 00:00:00
