ORDEN,LOTE,CANTIDAD_ENTREGADA,ORDEN_EN_EL_ENCADENADO,LOTE_PARENTAL,ID_BIOREACTOR,FECHA/HORA_INICIO,FECHA/HORA_FIN,VOLUMEN_DE_INOCULO_UTILIZADO,TURBIDEZ_INICIO_CULTIVO,TURBIDEZ_FIN_CULTIVO,VIABILIDAD_FINAL_CULTIVO,ID_CENTRIFUGA,CENTRIFUGACION_1_TURBIDEZ,CENTRIFUGACION_2_TURBIDEZ,PRODUCTO_1,PRODUCTO_2
200178572.0,23019,13.8,1,,14615,2023-03-21 07:30:00,2023-03-23 06:30:00,82.4,17.28,91.2,184000000,17825,,,1747.92,6.0
200179217.0,23020,13.6,1,,14616,2023-03-21 07:30:00,2023-03-23 06:30:00,80.4,18.8,91.2,181600000,14246,,,1676.16,6.56
200181620.0,23021,13.5,1,,13170,2023-03-22 07:30:00,2023-03-24 06:30:00,66.4,16.16,86.4,248000000,17825,,,1928.496,8.08
200182428.0,23022,13.8,1,,14614,2023-03-22 07:30:00,2023-03-24 06:30:00,85.60000000000001,18.48,83.2,229600000,12912,,,1782.8000000000002,5.920000000000001
200182429.0,23023,13.7,1,,14615,2023-03-28 07:27:00,2023-03-30 10:00:00,77.60000000000001,17.12,74.4,132800000,17825,26.56,20.880000000000003,1861.84,2.9600000000000004
200182430.0,23024,13.7,1,,14616,2023-03-28 07:24:00,2023-03-30 07:23:00,76.0,16.56,80.80000000000001,199200000,14246,24.56,10.4,2161.1200000000003,2.8000000000000003
200182431.0,23025,13.7,1,,13170,2023-03-29 07:09:00,2023-03-31 07:29:00,77.2,17.76,87.2,199200000,17825,30.64,29.360000000000003,2044.7200000000005,4.48
200182432.0,23026,13.8,1,,14614,2023-03-29 07:29:00,2023-03-31 07:38:00,78.80000000000001,18.24,81.2,206400000,14246,26.480000000000004,11.6,2263.2000000000003,3.44
200182433.0,23027,13.7,1,,14615,2023-04-04 10:32:00,2023-04-06 12:30:00,83.2,16.880000000000003,68.08,195200000,14246,26.24,9.840000000000002,1407.68,4.08
200182434.0,23028,13.7,1,,14616,2023-04-04 10:34:00,2023-04-06 12:32:00,83.60000000000001,18.56,67.2,176000000,17825,27.28,12.16,1373.2,4.720000000000001
200182435.0,23029,13.7,1,,13170,2023-04-18 07:30:00,2023-04-20 07:30:00,80.56,16.96,85.60000000000001,262400000,6379,27.84,13.36,2063.68,6.720000000000001
200182436.0,23030,13.9,1,,14614,2023-04-18 07:30:00,2023-04-20 07:30:00,81.36000000000001,19.36,76.0,179200000,12912,28.72,12.56,2019.68,5.84
200182437.0,23031,13.8,1,,14615,2023-04-18 07:30:00,2023-04-20 07:30:00,82.24000000000001,18.64,84.0,97600000,14246,29.52,,1816.08,6.16
200182440.0,23032,13.7,1,,14616,2023-04-18 07:30:00,2023-04-20 08:40:00,83.04,18.880000000000003,76.0,196000000,17825,29.44,,1865.36,6.56
200182441.0,23033,13.8,1,,14616,2023-04-25 12:30:00,2023-04-27 13:30:00,82.4,17.84,72.48,227200000,17825,29.12,16.0,1628.88,5.5200000000000005
200182442.0,23034,13.8,1,,14615,2023-04-25 12:30:00,2023-04-27 13:30:00,83.2,16.32,69.12,196800000,12912,24.0,16.0,1592.0,5.5200000000000005
200182443.0,23035,13.8,1,,14614,2023-04-25 07:45:00,2023-04-27 10:30:00,85.92000000000002,17.76,59.52000000000001,207200000,14246,25.200000000000003,15.12,1499.7600000000002,4.64
200182444.0,23036,13.7,1,,13170,2023-05-22 07:30:00,2023-05-24 09:35:00,82.0,16.400000000000002,65.92,142400000,14246,25.84,12.880000000000004,1403.44,4.24
200185569.0,23038,14.0,1,,14615,2023-05-23 08:00:00,2023-05-25 10:45:00,83.60000000000001,15.28,67.92,145600000,14246,23.040000000000003,13.52,1674.6400000000003,4.4
200185570.0,23039,13.7,1,,14616,2023-05-23 08:00:00,2023-05-25 10:15:00,80.4,17.84,67.2,122400000,17825,28.480000000000004,13.840000000000002,1487.44,3.6
200182445.0,23040,13.8,1,,13169,2023-05-30 12:00:00,2023-06-01 12:00:00,77.60000000000001,15.92,83.2,189866666,14246,27.44,,2129.92,8.16
200184533.0,23041,13.8,1,,14616,2023-05-30 07:20:00,2023-06-01 07:20:00,82.80000000000001,15.6,76.80000000000001,260000000,17825,23.28,21.36,1873.68,7.28
200184534.0,23042,13.7,1,,14614,2023-05-31 06:55:00,2023-06-02 09:20:00,79.2,15.28,68.96000000000001,209600000,17825,24.4,18.32,1609.7600000000002,6.4
200184603.0,23043,13.7,1,,14615,2023-06-12 08:00:00,2023-06-14 10:30:00,84.0,16.240000000000002,64.96000000000001,188000000,14246,24.64,18.56,1427.9120000000005,4.48
200184604.0,23044,13.7,1,,14616,2023-06-06 09:20:00,2023-06-08 13:50:00,81.2,14.880000000000004,56.48,369600000,17825,23.200000000000003,11.6,1240.7040000000002,4.960000000000001
200184605.0,23045,13.8,1,,13170,2023-06-12 08:00:00,2023-06-14 08:30:00,81.60000000000001,16.72,72.8,174400000,17825,27.84,15.68,1613.808,6.0
200184606.0,23046,0.0,1,,14614,2023-06-13 08:00:00,2023-06-15 09:15:00,82.80000000000001,14.080000000000002,69.67999999999999,178400000,14246,21.76,14.64,2060.992,8.72
200184607.0,23047,0.0,1,,14616,2023-06-13 08:00:00,2023-06-15 08:15:00,83.2,18.72,72.08,162133333,17825,26.64,19.28,1697.6008000000002,6.88
200184609.0,23048,13.8,1,,14615,2023-06-20 07:15:00,2023-06-22 08:45:00,81.60000000000001,16.0,67.04,165600000,14246,21.840000000000003,20.0,1393.072,5.6000000000000005
200184610.0,23049,13.7,1,,14616,2023-06-20 07:15:00,2023-06-22 08:45:00,82.4,14.96,68.8,163200000,17825,21.28,24.880000000000003,1766.4688,7.52
200184611.0,23050,13.8,1,,14614,2023-06-21 08:00:00,2023-06-23 08:00:00,83.2,16.16,75.28,129600000,17825,24.32,21.36,1755.072,6.800000000000001
200184612.0,23051,13.7,1,,13170,2023-06-21 08:00:00,2023-06-23 10:30:00,80.0,14.8,49.760000000000005,211200000,14246,22.08,13.76,1225.824,5.68
200187023.0,23053,13.8,1,,14616,2023-06-26 08:00:00,2023-06-28 07:30:00,,16.64,72.64,167733333,17825,24.480000000000004,14.56,1681.4240000000002,6.48
200187024.0,23054,13.7,1,,13170,2023-06-27 08:15:00,2023-06-29 08:15:00,,17.040000000000003,65.28,192800000,14246,24.16,28.880000000000003,1683.0560000000005,7.76
200187025.0,23055,13.7,1,,14615,2023-06-27 08:15:00,2023-06-29 08:15:00,,17.12,81.60000000000001,169066666,17825,26.64,23.840000000000003,1563.008,8.08
