OF_ORDEN,OF_LOTE,OF_CANTIDAD_ENTREGADA,CF_ORDEN_EN_EL_ENCADENADO,CF_LOTE_PARENTAL,CF_ID_BIOREACTOR,CF_FECHA/HORA_INICIO,CF_FECHA/HORA_FIN,CF_VOLUMEN_DE_INOCULO_UTILIZADO,CF_TURBIDEZ_INICIO_CULTIVO,CF_TURBIDEZ_FIN_CULTIVO,CF_VIABILIDAD_FINAL_CULTIVO,CF_ID_CENTRIFUGA,CF_CENTRIFUGACION_1_TURBIDEZ,CF_CENTRIFUGACION_2_TURBIDEZ,CF_PRODUCTO_1,CF_PRODUCTO_2,P_FECHA/HORA_INICIO,P_FECHA/HORA_FIN,P_PH_MAS_BAJO_1,P_PH_MAS_BAJO_2,P_TURBIDEZ_PH_BAJO_1,P_TURBIDEZ_PH_BAJO_2,I_ID_BIOREACTOR_y,I_FECHA/HORA_INICIO,I_FECHA/HORA_FIN,I_VOLUMEN_DE_CULTIVO,I_TURBIDEZ_INICIO_CULTIVO,I_TURBIDEZ_FINAL_CULTIVO,I_VIABILIDAD_FINAL_CULTIVO
200178572,23019,13.8,1,,14615,2023-03-21 7:30:00,2023-03-23 6:30:00,82.4,17.28,91.2,184000000,17825,,,1747.92,6,,,,,,,13171,,,,,32.8,134400000
200179217,23020,13.6,1,,14616,2023-03-21 7:30:00,2023-03-23 6:30:00,80.4,18.8,91.2,181600000,14246,,,1676.16,6.56,,,,,,,13171,,,,,32.8,134400000
200181620,23021,13.5,1,,13170,2023-03-22 7:30:00,2023-03-24 6:30:00,66.4,16.16,86.4,248000000,17825,,,1928.496,8.08,,,,,,,14618,,,,,27.84,115200000
200182428,23022,13.8,1,,14614,2023-03-22 7:30:00,2023-03-24 6:30:00,85.6,18.48,83.2,229600000,12912,,,1782.8,5.92,,,,,,,14618,,,,,27.84,115200000
200182429,23023,13.7,1,,14615,2023-03-28 7:27:00,2023-03-30 10:00:00,77.6,17.12,74.4,132800000,17825,26.56,20.88,1861.84,2.96,2023-03-26 5:00:00,2023-03-27 7:21:00,5.496,5.504,28.32,27.92,14618,2023-03-27 7:22:00,2023-03-28 7:29:00,155.2,18.24,31.68,106400000
200182430,23024,13.7,1,,14616,2023-03-28 7:24:00,2023-03-30 7:23:00,76,16.56,80.8,199200000,14246,24.56,10.4,2161.12,2.8,2023-03-26 5:00:00,2023-03-27 7:21:00,5.496,5.504,28.32,27.92,14618,2023-03-27 7:22:00,2023-03-28 7:29:00,155.2,18.24,31.68,106400000
200182431,23025,13.7,1,,13170,2023-03-29 7:09:00,2023-03-31 7:29:00,77.2,17.76,87.2,199200000,17825,30.64,29.36,2044.72,4.48,2023-03-17 6:00:00,2023-03-28 7:42:00,5.48,5.52,26.56,26.96,13172,2023-03-28 7:42:00,2023-03-29 6:43:00,157.6,16.96,27.6,84800000
200182432,23026,13.8,1,,14614,2023-03-29 7:29:00,2023-03-31 7:38:00,78.8,18.24,81.2,206400000,14246,26.48,11.6,2263.2,3.44,2023-03-17 6:00:00,2023-03-28 7:42:00,5.48,5.52,26.56,26.96,13172,2023-03-28 7:42:00,2023-03-29 6:43:00,157.6,16.96,27.6,84800000
200182433,23027,13.7,1,,14615,2023-04-04 10:32:00,2023-04-06 12:30:00,83.2,16.88,68.08,195200000,14246,26.24,9.84,1407.68,4.08,2023-04-02 5:00:00,2023-04-03 13:30:00,5.384,5.4,33.84,32.48,13172,2023-04-03 13:30:00,2023-04-04 11:35:00,168,18.88,23.52,104800000
200182434,23028,13.7,1,,14616,2023-04-04 10:34:00,2023-04-06 12:32:00,83.6,18.56,67.2,176000000,17825,27.28,12.16,1373.2,4.72,2023-04-02 5:00:00,2023-04-03 13:30:00,5.384,5.4,33.84,32.48,13172,2023-04-03 13:30:00,2023-04-04 11:35:00,168,18.88,23.52,104800000
200182435,23029,13.7,1,,13170,2023-04-18 7:30:00,2023-04-20 7:30:00,80.56,16.96,85.6,262400000,6379,27.84,13.36,2063.68,6.72,2023-04-15 5:30:00,2023-04-16 6:30:00,5.52,5.52,30,30.32,13172,2023-04-17 8:10:00,2023-04-18 7:00:00,162.72,18.4,28,96800000
200182436,23030,13.9,1,,14614,2023-04-18 7:30:00,2023-04-20 7:30:00,81.36,19.36,76,179200000,12912,28.72,12.56,2019.68,5.84,2023-04-15 5:30:00,2023-04-16 6:30:00,5.52,5.52,30,30.32,13172,2023-04-17 8:10:00,2023-04-18 7:00:00,162.72,18.4,28,96800000
200182437,23031,13.8,1,,14615,2023-04-18 7:30:00,2023-04-20 7:30:00,82.24,18.64,84,97600000,14246,29.52,,1816.08,6.16,2023-04-15 5:30:00,2023-04-16 6:30:00,5.512,5.52,32.96,32.08,14618,2023-04-17 8:30:00,2023-04-18 7:15:00,166.08,17.6,28.08,105600000
200182440,23032,13.7,1,,14616,2023-04-18 7:30:00,2023-04-20 8:40:00,83.04,18.88,76,196000000,17825,29.44,,1865.36,6.56,2023-04-15 5:30:00,2023-04-16 6:30:00,5.512,5.52,32.96,32.08,14618,2023-04-17 8:30:00,2023-04-18 7:15:00,166.08,17.6,28.08,105600000
200182441,23033,13.8,1,,14616,2023-04-25 12:30:00,2023-04-27 13:30:00,82.4,17.84,72.48,227200000,17825,29.12,16,1628.88,5.52,2023-04-23 5:00:00,2023-03-24 13:30:00,5.392,5.448,29.44,28.08,13172,2023-04-24 13:30:00,2023-04-25 12:25:00,165.6,16.96,24.24,104000000
200182442,23034,13.8,1,,14615,2023-04-25 12:30:00,2023-04-27 13:30:00,83.2,16.32,69.12,196800000,12912,24,16,1592,5.52,2023-04-23 5:00:00,2023-03-24 13:30:00,5.392,5.448,29.44,28.08,13172,2023-04-24 13:30:00,2023-04-25 12:25:00,165.6,16.96,24.24,104000000
200182443,23035,13.8,1,,14614,2023-04-25 7:45:00,2023-04-27 10:30:00,85.92,17.76,59.52,207200000,14246,25.2,15.12,1499.76,4.64,2023-04-23 5:00:00,2023-03-24 7:30:00,5.52,5.52,25.68,26.56,14618,2023-04-24 7:30:00,2023-04-25 7:30:00,85.92,18,26.24,81600000
200182444,23036,13.7,1,,13170,2023-05-22 7:30:00,2023-05-24 9:35:00,82,16.4,65.92,142400000,14246,25.84,12.88,1403.44,4.24,2023-05-20 5:00:00,2023-05-21 7:50:00,5.384,5.464,35.44,32.96,13171,2023-05-21 7:50:00,2023-05-22 7:30:00,164.4,14.96,21.76,88000000
200185569,23038,14,1,,14615,2023-05-23 8:00:00,2023-05-25 10:45:00,83.6,15.28,67.92,145600000,14246,23.04,13.52,1674.64,4.4,2023-05-21 5:00:00,2023-05-22 7:50:00,5.552,5.56,24.4,25.28,14618,2023-05-22 7:50:00,2023-05-23 7:50:00,168.72,12.32,22.32,115200000
200185570,23039,13.7,1,,14616,2023-05-23 8:00:00,2023-05-25 10:15:00,80.4,17.84,67.2,122400000,17825,28.48,13.84,1487.44,3.6,2023-05-21 5:00:00,2023-05-22 7:50:00,5.552,5.56,24.4,25.28,14618,2023-05-22 7:50:00,2023-05-23 7:50:00,168.72,12.32,22.32,115200000
200182445,23040,13.8,1,,13169,2023-05-30 12:00:00,2023-06-01 12:00:00,77.6,15.92,83.2,189866666,14246,27.44,,2129.92,8.16,2023-05-28 5:00:00,2023-05-29 7:30:00,5.432,5.48,33.68,25.04,14618,2023-05-29 7:30:00,2023-05-30 12:00:00,165.6,13.92,32.32,154400000
200184533,23041,13.8,1,,14616,2023-05-30 7:20:00,2023-06-01 7:20:00,82.8,15.6,76.8,260000000,17825,23.28,21.36,1873.68,7.28,2023-05-28 5:00:00,2023-05-29 7:30:00,5.432,5.48,33.68,25.04,14618,2023-05-29 7:30:00,2023-05-30 7:20:00,165.6,13.92,24.48,107200000
200184534,23042,13.7,1,,14614,2023-05-31 6:55:00,2023-06-02 9:20:00,79.2,15.28,68.96,209600000,17825,24.4,18.32,1609.76,6.4,2023-05-29 5:00:00,2023-05-30 7:30:00,5.472,5.512,27.12,24.8,13172,2023-05-30 7:30:00,2023-05-31 6:40:00,79.2,14.32,24.64,108800000
200184603,23043,13.7,1,,14615,2023-06-12 8:00:00,2023-06-14 10:30:00,84,16.24,64.96,188000000,14246,24.64,18.56,1427.912,4.48,2023-06-10 5:00:00,2023-06-11 7:35:00,5.44,5.512,31.6,31.44,14618,2023-06-11 7:35:00,2023-06-12 7:35:00,84,13.2,24.24,87200000
200184604,23044,13.7,1,,14616,2023-06-06 9:20:00,2023-06-08 13:50:00,81.2,14.88,56.48,369600000,17825,23.2,11.6,1240.704,4.96,2023-06-04 5:00:00,2023-06-05 8:00:00,5.488,5.552,30.48,26.8,14618,2023-06-05 8:00:00,2023-06-06 9:20:00,84,14.48,19.68,75767200
200184605,23045,13.8,1,,13170,2023-06-12 8:00:00,2023-06-14 8:30:00,81.6,16.72,72.8,174400000,17825,27.84,15.68,1613.808,6,2023-06-10 5:00:00,2023-06-11 7:35:00,5.44,5.512,31.6,31.44,14618,2023-06-11 7:35:00,2023-06-12 7:35:00,81.6,13.2,24.24,87200000
200184606,23046,0,1,,14614,2023-06-13 8:00:00,2023-06-15 9:15:00,82.8,14.08,69.68,178400000,14246,21.76,14.64,2060.992,8.72,2023-06-11 5:00:00,2023-06-12 9:00:00,5.568,5.584,26.4,28.64,13172,2023-06-12 9:00:00,2023-06-13 7:15:00,82.8,13.2,23.36,86400000
200184607,23047,0,1,,14616,2023-06-13 8:00:00,2023-06-15 8:15:00,83.2,18.72,72.08,162133333,17825,26.64,19.28,1697.6008,6.88,2023-06-11 5:00:00,2023-06-12 9:00:00,5.568,5.584,26.4,28.64,13172,2023-06-12 9:00:00,2023-06-13 7:15:00,83.2,13.2,23.36,86400000
200184609,23048,13.8,1,,14615,2023-06-20 7:15:00,2023-06-22 8:45:00,81.6,16,67.04,165600000,14246,21.84,20,1393.072,5.6,2023-06-18 5:00:00,2023-06-19 7:15:00,5.512,5.52,29.2,28.72,13171,2023-06-19 7:20:00,2023-06-20 7:15:00,165.6,14.16,27.04,86400000
200184610,23049,13.7,1,,14616,2023-06-20 7:15:00,2023-06-22 8:45:00,82.4,14.96,68.8,163200000,17825,21.28,24.88,1766.4688,7.52,2023-06-18 5:00:00,2023-06-19 7:15:00,5.512,5.52,29.2,28.72,13171,2023-06-19 7:20:00,2023-06-20 7:15:00,165.6,14.16,27.04,86400000
200184611,23050,13.8,1,,14614,2023-06-21 8:00:00,2023-06-23 8:00:00,83.2,16.16,75.28,129600000,17825,24.32,21.36,1755.072,6.8,2023-06-19 5:00:00,2023-06-20 7:30:00,5.408,5.488,26.96,25.76,14618,2023-06-20 7:40:00,2023-06-21 8:00:00,167.2,14.24,25.2,82400000
200184612,23051,13.7,1,,13170,2023-06-21 8:00:00,2023-06-23 10:30:00,80,14.8,49.76,211200000,14246,22.08,13.76,1225.824,5.68,2023-06-19 5:00:00,2023-06-20 7:30:00,5.408,5.488,26.96,25.76,14618,2023-06-20 7:40:00,2023-06-21 8:00:00,167.2,14.24,25.2,82400000
200187023,23053,13.8,1,,14616,2023-06-26 8:00:00,2023-06-28 7:30:00,,16.64,72.64,167733333,17825,24.48,14.56,1681.424,6.48,2023-06-24 5:00:00,2023-06-25 7:30:00,5.456,5.464,26.96,49.2,13172,2023-06-25 7:30:00,2023-06-26 7:45:00,165.6,15.2,28.88,88000000
200187024,23054,13.7,1,,13170,2023-06-27 8:15:00,2023-06-29 8:15:00,,17.04,65.28,192800000,14246,24.16,28.88,1683.056,7.76,2023-06-25 5:00:00,2023-06-26 7:45:00,5.496,5.512,28.96,28.72,14618,2023-06-26 7:45:00,2023-06-27 7:50:00,163.2,14.56,26,85600000
200187025,23055,13.7,1,,14615,2023-06-27 8:15:00,2023-06-29 8:15:00,,17.12,81.6,169066666,17825,26.64,23.84,1563.008,8.08,2023-06-25 5:00:00,2023-06-26 7:45:00,5.496,5.512,28.96,28.72,14618,2023-06-26 7:45:00,2023-06-27 7:50:00,163.2,14.56,26,85600000
200182448,23057,13.7,1,,14614,2023-07-03 8:35:00,2023-07-05 9:15:00,84,27.04,73.2,173600000,17825,27.12,21.2,1786.24,5.92,,,,,,,13171,2023-07-02 8:35:00,2023-07-03 8:35:00,168.8,,27.04,112000000
200187026,23056,13.7,1,,13170,2023-07-03 8:35:00,2023-07-05 8:30:00,84,18.72,81.6,205600000,14246,29.36,23.44,1699.68,6.88,2023-07-01 5:00:00,2023-07-02 8:35:00,5.48,5.544,30.32,31.76,13171,2023-07-02 8:35:00,2023-07-03 8:35:00,168.8,,27.04,112000000
200182446,23061,13.7,1,,14616,2023-07-04 7:30:00,2023-07-06 8:30:00,82,17.84,73.36,145600000,17825,25.76,20.96,1967.84,7.28,2023-07-02 5:00:00,2023-07-03 7:30:00,5.512,5.528,30.8,31.52,14618,2023-07-03 7:30:00,2023-07-04 7:30:00,166.4,16.08,27.6,103200000
200187027,23060,13.9,1,,14615,2023-07-04 7:30:00,2023-07-06 8:30:00,82.4,15.04,71.76,140800000,14246,23.84,20.24,1688.24,7.12,2023-07-02 5:00:00,2023-07-03 7:30:00,5.512,5.528,30.8,31.52,14618,2023-07-03 7:30:00,2023-07-04 7:30:00,166.4,16.08,27.6,103200000
200187028,23063,13.7,1,,14615,2023-07-10 7:35:00,2023-07-12 11:35:00,83.2,17.6,68.32,113600000,14246,25.52,15.76,1790.16,5.92,2023-07-08 5:00:00,2023-07-09 7:45:00,5.456,5.496,41.28,30.24,14618,2023-07-09 7:45:00,2023-07-10 7:45:00,166.4,16.16,22.8,101600000
200187029,23064,13.8,1,,13170,2023-07-11 7:50:00,2023-07-13 7:55:00,80.8,16.48,81.6,118400000,14246,27.12,26.56,1821.76,7.44,2023-07-09 5:00:00,2023-07-10 7:20:00,5.408,5.464,29.28,29.8,13171,2023-07-10 7:20:00,2023-07-11 7:20:00,165.12,15.92,24.88,112000000
200187030,23065,13.8,1,,14616,2023-07-11 7:50:00,2023-07-13 9:25:00,81.2,18.88,74.88,150400000,17825,27.68,20.24,1977.52,6.64,2023-07-09 5:00:00,2023-07-10 7:20:00,5.408,5.464,29.28,29.8,13171,2023-07-10 7:20:00,2023-07-11 7:20:00,165.12,15.92,24.88,112000000
200187032,23067,13.8,1,,14615,2023-07-17 7:30:00,2023-07-19 9:45:00,84,18.08,60.72,153600000,14246,23.6,16.88,1793.12,5.84,2023-07-15 5:00:00,2023-07-16 7:30:00,5.52,5.544,25.36,27.76,13171,2023-07-16 7:30:00,2023-07-17 7:35:00,168,16.08,25.52,130400000
200187033,23068,13.8,1,,13170,2023-07-18 8:05:00,2023-07-20 7:55:00,82,16.4,72.96,158400000,14246,24.16,22.56,1743.28,6.96,2023-07-16 5:00:00,2023-07-17 7:35:00,5.584,5.624,26.48,35.28,13172,2023-07-17 7:35:00,2023-07-18 7:35:00,165.6,14.16,21.92,131200000
200188840,23069,13.7,1,,14616,2023-07-18 7:30:00,2023-07-20 8:00:00,82,17.04,63.6,153600000,17825,23.68,18.4,1548.88,5.6,2023-07-16 5:00:00,2023-07-17 7:35:00,5.584,5.624,26.48,35.28,13172,2023-07-17 7:35:00,2023-07-18 7:35:00,165.6,14.16,21.92,131200000
200188841,23070,13.6,1,,14615,2023-07-24 8:40:00,2023-07-26 8:40:00,80,17.52,62.72,91200000,14246,25.68,15.44,1853.28,5.44,2023-07-22 5:00:00,2023-07-23 8:30:00,5.44,5.464,30.96,29.52,13171,2023-07-23 8:30:00,2023-07-24 8:40:00,164,14.24,26.32,86400000
200188842,23071,13.8,1,,13170,2023-07-25 7:00:00,2023-07-27 7:50:00,82,18,77.2,173600000,14246,28.16,26.8,2162.48,7.6,2023-07-23 5:00:00,2023-07-24 7:00:00,5.472,5.48,27.52,26.56,14618,2023-07-24 7:00:00,2023-07-25 7:00:00,167.76,12.72,25.52,76800000
200188843,23072,13.8,1,,14616,2023-07-25 7:00:00,2023-07-27 8:00:00,80.8,16.64,69.04,138400000,17825,24.4,22.72,1832.96,6.08,2023-07-23 5:00:00,2023-07-24 7:00:00,5.472,5.48,27.52,26.56,14618,2023-07-24 7:00:00,2023-07-25 7:00:00,167.76,12.72,25.52,76800000
