OF_ORDEN,OF_LOTE,OF_CANTIDAD_ENTREGADA,CF_ORDEN_EN_EL_ENCADENADO,CF_LOTE_PARENTAL,CF_ID_BIOREACTOR,CF_FECHA/HORA_INICIO,CF_FECHA/HORA_FIN,CF_VOLUMEN_DE_INOCULO_UTILIZADO,CF_TURBIDEZ_INICIO_CULTIVO,CF_TURBIDEZ_FIN_CULTIVO,CF_VIABILIDAD_FINAL_CULTIVO,CF_ID_CENTRIFUGA,CF_CENTRIFUGACION_1_TURBIDEZ,CF_CENTRIFUGACION_2_TURBIDEZ,P_FECHA/HORA_INICIO,P_FECHA/HORA_FIN,P_PH_MAS_BAJO_1,P_PH_MAS_BAJO_2,P_TURBIDEZ_PH_BAJO_1,P_TURBIDEZ_PH_BAJO_2,I_ID_BIOREACTOR_y,I_FECHA/HORA_INICIO,I_FECHA/HORA_FIN,I_VOLUMEN_DE_CULTIVO,I_TURBIDEZ_INICIO_CULTIVO,I_TURBIDEZ_FINAL_CULTIVO,I_VIABILIDAD_FINAL_CULTIVO,BR_CF_LOTE,BR_CF_ID_BIOREACTOR,BR_CF_FECHA_INICIO,BR_CF_FECHA_FIN,BR_CF_DIAS_FASE,BR_CF_FERM0101.AGITATION_PV,BR_CF_FERM0101.AIR_SPARGE_PV,BR_CF_FERM0101.BIOCONTAINER_PRESSURE_PV,BR_CF_FERM0101.DO_1_PV,BR_CF_FERM0101.DO_2_PV,BR_CF_FERM0101.GAS_OVERLAY_PV,BR_CF_FERM0101.LOAD_CELL_NET_PV,BR_CF_FERM0101.PH_1_PV,BR_CF_FERM0101.PH_2_PV,BR_CF_FERM0101.PUMP_1_PV,BR_CF_FERM0101.PUMP_1_TOTAL,BR_CF_FERM0101.PUMP_2_PV,BR_CF_FERM0101.PUMP_2_TOTAL,BR_CF_FERM0101.SINGLE_USE_DO_PV,BR_CF_FERM0101.SINGLE_USE_PH_PV,BR_CF_FERM0101.TEMPERATURA_PV,BR_CF_TH_06299_TI1302.PV,BR_CF_TH_06299_MI1302.PV,BR_I_LOTE,BR_I_ID_BIOREACTOR,BR_I_FECHA_FIN,BR_I_FECHA_INICIO,BR_I_DIAS_FASE,BR_I_FERM0101.AGITATION_PV,BR_I_FERM0101.AIR_SPARGE_PV,BR_I_FERM0101.BIOCONTAINER_PRESSURE_PV,BR_I_FERM0101.DO_1_PV,BR_I_FERM0101.DO_2_PV,BR_I_FERM0101.GAS_OVERLAY_PV,BR_I_FERM0101.LOAD_CELL_NET_PV,BR_I_FERM0101.PH_1_PV,BR_I_FERM0101.PH_2_PV,BR_I_FERM0101.PUMP_1_PV,BR_I_FERM0101.PUMP_1_TOTAL,BR_I_FERM0101.PUMP_2_PV,BR_I_FERM0101.PUMP_2_TOTAL,BR_I_FERM0101.SINGLE_USE_DO_PV,BR_I_FERM0101.SINGLE_USE_PH_PV,BR_I_FERM0101.TEMPERATURA_PV,BR_I_TH_06299_TI1302.PV,BR_I_TH_06299_MI1302.PV,C_LOTE,C_ID_CENTRIFUGA,C_TOTAL_CENTRIFUGACION,C_FECHA_FIN,C_FECHA_INICIO,C_DIAS_FASE,C_CTF0101.EN_PARCIAL,C_CTF0101.EN_TOTAL,C_D01780551.PV,C_D01906041.PV,C_D01916047.PV,C_D01916503.PV,C_D01919022.PV,C_TH_06299_TI1402.PV,C_TH_06299_MI1402.PV,IPC_C_LOTE,IPC_C_CENTRIFUGA,C1_100L,C1_200L,C1_400L,C1_600L,C1_800L,C1_1000L,C1_1200L,C1_1400L,C1_1600L,C1_1800L,C1_2000L,C2_100L,C2_200L,C2_300L,C2_400L,IPC_CF_LOTE,IPC_CF_FECHA_INICIO,IPC_CF_FECHA_FIN,IPC_CF_DIAS_FASE,IPC_CF_TURBIDEZ,IPC_CF_VIABILIDAD,IPC_CF_GLUCOSA_G/L,IPC_CF_TH_07781_TI1501.PV,IPC_CF_TH_07781_MI1501.PV,IPC_I_LOTE,IPC_I_FECHA_FIN,IPC_I_FECHA_INICIO,IPC_I_DIAS_FASE,IPC_I_TURBIDEZ,IPC_I_VIABILIDAD,IPC_I_TH_07781_TI1501.PV,IPC_I_TH_07781_TI1501.PV.1,MP_LOTE,100001_CALIDAD,100002_CALIDAD,100003_CALIDAD,100004_CALIDAD,100005_CALIDAD,100006_CALIDAD,100007_CALIDAD,100008_CALIDAD,100009_CALIDAD,100010_CALIDAD,100011_CALIDAD,100012_CALIDAD,100013_CALIDAD,CF_PRODUCTO_1,CF_PRODUCTO_2
200178572,23019,13.8,1,,14615,2023-03-21 7:30:00,2023-03-23 6:30:00,82.4,17.28,91.2,184000000,17825,,,,,,,,,13171,,,,,32.8,134400000,23019,14615,2023-03-21 7:30:00,2023-03-23 6:30:00,1.958333333,80,18.77870942,1.09321446,18.11231037,0,3.999928668,1645.979116,5.877329405,-0.234762573,0,16.4613559,2.558542841,3557.051142,19.80369054,5.915972987,29.60303025,22.01779886,45.66376049,,,,,,,,,,,,,,,,,,,,,,,,23019,17825,2,2023-03-23 13:00:00,2023-03-23 7:45:00,0.21875,0,1,26.82684144,427.5479222,3.190386169,,6679.669734,21.03647961,51.76124979,23019,17825,0,26.8,26.3,28.2,28.1,28.4,27.7,28.6,28.5,28.9,28.2,20.8,20.8,21.6,21.5,23019,2023-03-23 6:30:00,2023-03-21 7:30:00,1.958333333,46.352,94980000,1.441,20.06799753,52.12928095,23019,2023-03-21 6:30:00,2023-03-21 6:30:00,0,32.8,134400000,20.01320076,51.74876785,23019,59.52262364,373,563,470,119,316,34,178,408.2222337,173,71,2,0,1747.92,6
200179217,23020,13.6,1,,14616,2023-03-21 7:30:00,2023-03-23 6:30:00,80.4,18.8,91.2,181600000,14246,,,,,,,,,13171,,,,,32.8,134400000,23020,14616,2023-03-21 7:30:00,2023-03-23 6:30:00,1.958333333,80,15.04525869,1.108861939,20.35832261,0,3.999999887,1658.588798,5.879955558,-389.2609619,0,15.85100573,2.487566584,2987.46715,21.57790101,5.8276393,29.60200165,22.01779886,45.66376049,,,,,,,,,,,,,,,,,,,,,,,,23020,14246,2,2023-03-23 13:30:00,2023-03-23 8:00:00,0.2291666667,0,7,24.23970313,370.0725597,2.83001996,,6666.298919,21.03647961,51.76124979,23020,14246,0,29.8,28.6,30.9,28.6,27.6,27.8,28.3,27.6,28.5,26.9,12.8,13,12.9,12.9,23020,2023-03-23 6:30:00,2023-03-21 7:30:00,1.958333333,46.992,483321600,1.471,20.06799753,52.12928095,23020,2023-03-21 6:30:00,2023-03-21 6:30:00,0,32.8,134400000,20.01320076,51.74876785,23020,59.51255108,373,563,474.361,119,316,34,178,408.2222337,173,71,2,0,1676.16,6.56
200181620,23021,13.5,1,,13170,2023-03-22 7:30:00,2023-03-24 6:30:00,66.4,16.16,86.4,248000000,17825,,,,,,,,,14618,,,,,27.84,115200000,23021,13170,2023-03-22 7:30:00,2023-03-24 6:30:00,1.958333333,80,14.02600055,1.27156161,18.84656085,,4,1604.958661,6,-0.138586426,0,20.74381637,2.475291644,220.9978836,682.7460317,791.565291,29.9264409,21.84092673,47.08636583,,,,,,,,,,,,,,,,,,,,,,,,23021,17825,2,2023-03-24 14:30:00,2023-03-24 8:30:00,0.25,0,0,26.7986933,393.0963415,2.894474735,,6680.89495,19.45247543,40.96553407,23021,17825,0,28.6,30.4,28.7,28.7,29.2,28.6,29.1,29.5,29.1,29,18.5,20.5,17.8,20.2,23021,2023-03-24 6:30:00,2023-03-22 7:30:00,1.958333333,40.37818182,93886060.6,1.556363636,20.10311285,52.15436725,23021,2023-03-22 6:30:00,2023-03-22 6:30:00,0,27.8,115200000,20.00144577,52.76330948,23021,59.52262364,373,563,475.5887097,119,316,34,178,408.2229532,173,71,2,0,1928.496,8.08
200182428,23022,13.8,1,,14614,2023-03-22 7:30:00,2023-03-24 6:30:00,85.6,18.48,83.2,229600000,12912,,,,,,,,,14618,,,,,27.84,115200000,23022,14614,2023-03-22 7:30:00,2023-03-24 6:30:00,1.958333333,80,9.321213954,0.4373226365,19.68155045,-0.005529616947,3.999897478,1625.036602,-0.156925201,5.879351343,0,42.12062029,1.58768086,2957.527334,680.9475279,795.7679266,29.57606321,21.84092673,47.08636583,,,,,,,,,,,,,,,,,,,,,,,,23022,12912,2,2023-03-24 14:30:00,2023-03-24 8:15:00,0.2604166667,0,7,32.73612642,474.8444829,2.83217236,,6678.166275,19.45247543,40.96553407,23022,12912,0,26.3,26.4,26.2,26.4,26.2,26.1,26.3,27,26.9,26.6,10.1,10,11,9.4,23022,2023-03-24 6:30:00,2023-03-22 7:30:00,1.958333333,40.53818182,102081212.1,1.603636364,20.11661164,52.20571075,23022,2023-03-22 6:30:00,2023-03-22 6:30:00,0,27.8,115200000,20.00144577,52.76330948,23022,59.57112946,373,563,475.5887097,119,316,34,178,408.2222337,173,71,2,0,1782.8,5.92
200182429,23023,13.7,1,,14615,2023-03-28 7:27:00,2023-03-30 10:00:00,77.6,17.12,74.4,132800000,17825,26.56,20.88,2023-03-26 5:00:00,2023-03-27 7:21:00,5.496,5.504,28.32,27.92,14618,2023-03-27 7:22:00,2023-03-28 7:29:00,155.2,18.24,31.68,106400000,23023,14615,2023-03-28 7:30:00,2023-03-30 10:00:00,2.104166667,80,9.226357834,0.9025889777,20.25220838,0,3.99999172,1673.923184,5.877682173,-0.234762573,0,12.38719089,2.104051756,3232.216955,656.0430172,784.2570679,29.5601023,20.04545175,47.13956931,23023,14618,2023-03-28 7:30:00,2023-03-27 7:15:00,1.010416667,71.82407582,2.738605019,3.15186999,23.00875684,0,4.000008486,155.7588271,-522.0056566,5.88705364,0,19.84000092,0.2915690083,3.99405442,23.93623474,6.003263103,29.44275043,20.85348246,44.06500524,23023,17825,2,2023-03-30 14:45:00,2023-03-30 9:30:00,0.21875,0,1,42.86402131,309.1781737,1.990917414,,4887.562718,19.24629256,49.05636027,23023,17825,0,26.6,26,26.2,26.8,27,26.2,27,27,26.6,26.9,21,21,20.8,20.6,23023,2023-03-30 12:00:00,2023-03-28 8:00:00,2.166666667,45.84666667,105785777.8,1.416666667,20.2432514,49.61606683,23023,2023-03-28 6:30:00,2023-03-27 7:30:00,0.9583333333,21.82,37728000,20.1052515,49.07301489,,,,,,,,,,,,,,,1861.84,2.96
200182430,23024,13.7,1,,14616,2023-03-28 7:24:00,2023-03-30 7:23:00,76,16.56,80.8,199200000,14246,24.56,10.4,2023-03-26 5:00:00,2023-03-27 7:21:00,5.496,5.504,28.32,27.92,14618,2023-03-27 7:22:00,2023-03-28 7:29:00,155.2,18.24,31.68,106400000,23024,14616,2023-03-28 7:30:00,2023-03-30 7:30:00,2,80,15.46158565,0.8083160253,19.79787163,0,3.999979862,1644.959578,5.878171009,-389.2538322,0,16.51191754,2.265540076,2555.590466,628.8806574,787.5531568,29.59875759,20.11218791,47.48115021,23024,14618,2023-03-28 7:30:00,2023-03-27 7:15:00,1.010416667,71.82407582,2.738605019,3.15186999,23.00875684,0,4.000008486,155.7588271,-522.0056566,5.88705364,0,19.84000092,0.2915690083,3.99405442,23.93623474,6.003263103,29.44275043,20.85348246,44.06500524,23024,14246,2,2023-03-30 12:45:00,2023-03-30 7:15:00,0.2291666667,0,0,36.8730929,275.9053846,2.001569797,,4684.597163,18.78478569,45.10192819,23024,14246,0,24.6,24.3,24.2,24.4,24.5,24.7,24.6,24.7,24.8,24.4,10.4,11.5,9,10.4,23024,2023-03-30 9:30:00,2023-03-28 8:00:00,2.0625,46.02181818,114070545.5,1.469,20.28167404,49.77187301,23024,2023-03-28 6:30:00,2023-03-27 7:30:00,0.9583333333,21.82,37728000,20.1052515,49.07301489,23024,69,373,536,480.714,119,316,42,202.4457064,409,173,71,2,0,2161.12,2.8
200182431,23025,13.7,1,,13170,2023-03-29 7:09:00,2023-03-31 7:29:00,77.2,17.76,87.2,199200000,17825,30.64,29.36,2023-03-17 6:00:00,2023-03-28 7:42:00,5.48,5.52,26.56,26.96,13172,2023-03-28 7:42:00,2023-03-29 6:43:00,157.6,16.96,27.6,84800000,23025,13170,2023-03-29 7:15:00,2023-03-31 7:30:00,2.010416667,80,12.44522918,0.4830980338,19.03720278,0,4,1611.974991,6,-0.137872063,0,18.06225404,2.729249267,200.8231982,19.18041237,247.4284945,29.95109084,20.16012792,48.59869404,23025,13172,2023-03-29 6:45:00,2023-03-28 7:45:00,0.9583333333,70.4516129,1.091126566,1.827653121,0,22.71886545,3.655904268,158.6133344,5.987647092,-0.851782799,0,0.6400000297,0.02199673024,3.767838082,23.83036411,6.016943117,29.49224199,20.20475562,47.34422962,23025,17825,2,2023-03-31 12:45:00,2023-03-31 6:45:00,0.25,0,1,42.53046373,263.7978593,1.854531455,,4855.193028,19.90793536,46.57398675,23025,17825,0,31,30.7,30.2,30.5,30.8,31.1,30.5,30.5,30.5,30.9,29.4,29.5,29.3,28.6,23025,2023-03-31 7:30:00,2023-03-29 7:30:00,2,46.488,101728000,1.406,20.21032247,50.23893102,23025,2023-03-29 6:30:00,2023-03-28 7:30:00,0.9583333333,19.88,26296000,20.16294079,49.95032131,23025,69,373,536,481.7951807,119,316,42,202.4455421,409,173,71,20.31587973,0,2044.72,4.48
200182432,23026,13.8,1,,14614,2023-03-29 7:29:00,2023-03-31 7:38:00,78.8,18.24,81.2,206400000,14246,26.48,11.6,2023-03-17 6:00:00,2023-03-28 7:42:00,5.48,5.52,26.56,26.96,13172,2023-03-28 7:42:00,2023-03-29 6:43:00,157.6,16.96,27.6,84800000,23026,14614,2023-03-29 7:30:00,2023-03-31 7:45:00,2.010416667,80,12.57927497,1.108326145,19.53477392,-0.005529334155,3.999705748,1654.981437,-0.156925201,5.877525899,0,22.06433099,3.216418823,3397.271229,20.70913943,251.4555069,29.56482653,20.16012792,48.59869404,23026,13172,2023-03-29 6:45:00,2023-03-28 7:45:00,0.9583333333,70.4516129,1.091126566,1.827653121,0,22.71886545,3.655904268,158.6133344,5.987647092,-0.851782799,0,0.6400000297,0.02199673024,3.767838082,23.83036411,6.016943117,29.49224199,20.20475562,47.34422962,23026,14246,1,2023-03-31 10:15:00,2023-03-31 7:15:00,0.125,0,0,30.40164138,543.63187,2.978688746,,6161.625811,19.91509885,46.32273598,23026,14246,0,26.7,26.3,26.2,26.2,26.6,26.4,26.8,26.1,31.4,26.6,12.4,11.4,11.8,10.9,23026,2023-03-31 7:30:00,2023-03-29 7:30:00,2,43.856,95541333.33,1.489,20.21032247,50.23893102,23026,2023-03-29 6:30:00,2023-03-28 7:30:00,0.9583333333,19.88,26296000,20.16294079,49.95032131,23026,69,373,536,481.8,119,316,42,202.4455421,395.9097362,173,69.77651492,19.74728669,0,2263.2,3.44
200182433,23027,13.7,1,,14615,2023-04-04 10:32:00,2023-04-06 12:30:00,83.2,16.88,68.08,195200000,14246,26.24,9.84,2023-04-02 5:00:00,2023-04-03 13:30:00,5.384,5.4,33.84,32.48,13172,2023-04-03 13:30:00,2023-04-04 11:35:00,168,18.88,23.52,104800000,23027,14615,2023-04-04 10:30:00,2023-04-06 12:30:00,2.083333333,80,10.52722935,0.3853010753,20.61941641,0,3.999869046,1658.963944,5.876909357,-0.232426627,0,2.45611926,2.452003257,2662.56168,22.73476238,792.0113151,29.60474877,21.53551649,31.66633404,23027,13172,2023-04-04 11:30:00,2023-04-03 13:30:00,0.9166666667,69.4559055,1.08705558,2.012274422,0,24.2003651,3.910076417,160.5186068,5.897399317,-0.851782799,0,9.919999695,0.06034793267,1.287901718,42.53006015,23.85725858,29.232882,20.58340421,35.82218405,23027,14246,2,2023-04-06 17:45:00,2023-04-06 11:45:00,0.25,0,0,41.53568784,288.4750917,2.134857063,,4751.378401,20.68001362,35.16806464,23027,14246,0,26.5,28.1,25.7,27.4,25.8,26.4,25.6,26.4,26,25.8,10,10.9,9.4,9.6,23027,2023-04-06 12:00:00,2023-04-04 10:30:00,2.0625,36.5008,95775200,1.5425,20.05352974,40.92447249,23027,2023-04-04 10:00:00,2023-04-03 14:00:00,0.8333333333,20.825,36172000,20.11492634,45.86633682,23027,69,478.3095701,588,482.9473684,119,472.1991889,42,203,210.3674063,169.6812268,121.0930233,95.34782609,0,1407.68,4.08
200182434,23028,13.7,1,,14616,2023-04-04 10:34:00,2023-04-06 12:32:00,83.6,18.56,67.2,176000000,17825,27.28,12.16,2023-04-02 5:00:00,2023-04-03 13:30:00,5.384,5.4,33.84,32.48,13172,2023-04-03 13:30:00,2023-04-04 11:35:00,168,18.88,23.52,104800000,23028,14616,2023-04-04 10:30:00,2023-04-06 12:30:00,2.083333333,80,8.583017593,0.5970524148,21.07468217,0,4.000034739,1664.277441,5.878842192,-389.2609619,0,14.76895523,2.150767116,2196.271474,22.6615693,791.7894014,29.60422772,21.53551649,31.66633404,23028,13172,2023-04-04 11:30:00,2023-04-03 13:30:00,0.9166666667,69.4559055,1.08705558,2.012274422,0,24.2003651,3.910076417,160.5186068,5.897399317,-0.851782799,0,9.919999695,0.06034793267,1.287901718,42.53006015,23.85725858,29.232882,20.58340421,35.82218405,23028,17825,2,2023-04-06 18:45:00,2023-04-06 11:45:00,0.2916666667,0,4,39.90755982,234.2519916,1.821000999,,5021.206037,20.69889397,36.85299017,23028,17825,0,27,27.3,27.6,28.6,26.6,27.2,27.3,27.3,27.5,27.4,12.3,12.9,12,11.8,23028,2023-04-06 12:00:00,2023-04-04 10:30:00,2.0625,37.64,95581599.99,1.4725,20.05352974,40.92447249,23028,2023-04-04 10:00:00,2023-04-03 14:00:00,0.8333333333,20.825,36172000,20.11492634,45.86633682,23028,69,373,536,486.5315217,119,316,42,203,162,72,69,31,0,1373.2,4.72
