IPC_CF_LOTE,IPC_CF_FECHA,IPC_CF_TURBIDEZ,IPC_CF_VIABILIDAD,IPC_CF_GLUCOSA_G/L,IPC_CF_FECHA_APROX,IPC_CF_TH_07781_TI1501.PV,IPC_CF_TH_07781_MI1501.PV
23019,2023-03-21 07:30:00,17.28,8333333.33,1.74,2023-03-21 07:30:00,20.18771648,50.66550827
23019,2023-03-21 11:00:00,17.28,13973333.33,1.97,2023-03-21 11:00:00,20.40653992,51.13208771
23019,2023-03-21 14:00:00,18.4,16880000,1.92,2023-03-21 14:00:00,19.86400414,54.12326431
23019,2023-03-21 18:00:00,19.76,24746666.67,1.88,2023-03-21 18:00:00,19.86400414,54.22105883
23019,2023-03-22 07:00:00,39.12,100000000,1.57,2023-03-22 07:00:00,20.00144577,52.35821533
23019,2023-03-22 11:30:00,51.12,133866666.7,1.62,2023-03-22 11:30:00,20.20851421,51.54803085
23019,2023-03-22 15:30:00,62.32,137600000,1.44,2023-03-22 15:30:00,20.07921105,49.38512611
23019,2023-03-22 18:30:00,69.6,177066666.7,1.08,2023-03-22 18:30:00,20.00054264,51.59686089
23019,2023-03-22 21:00:00,77.44,152000000,0.98,2023-03-22 21:00:00,19.86400414,53.57349396
23019,2023-03-23 06:30:00,91.2,185333333.3,0.21,2023-03-23 06:30:00,20.20399284,52.68916321
23020,2023-03-21 07:30:00,18.8,7456000,1.75,2023-03-21 07:30:00,20.18771648,50.66550827
23020,2023-03-21 11:00:00,19.6,13706666.67,1.94,2023-03-21 11:00:00,20.40653992,51.13208771
23020,2023-03-21 14:00:00,20.16,17680000,1.92,2023-03-21 14:00:00,19.86400414,54.12326431
23020,2023-03-21 18:00:00,21.44,24773333.33,1.94,2023-03-21 18:00:00,19.86400414,54.22105883
23020,2023-03-22 07:00:00,39.52,99733333.33,1.7,2023-03-22 07:00:00,20.00144577,52.35821533
23020,2023-03-22 11:30:00,52.72,137066666.7,1.6,2023-03-22 11:30:00,20.20851421,51.54803085
23020,2023-03-22 15:30:00,61.6,4036266667,1.43,2023-03-22 15:30:00,20.07921105,49.38512611
23020,2023-03-22 18:30:00,70.16,159200000,1.06,2023-03-22 18:30:00,20.00054264,51.59686089
23020,2023-03-22 21:00:00,74.72,157333333.3,1.06,2023-03-22 21:00:00,19.86400414,53.57349396
23020,2023-03-23 06:30:00,91.2,180000000,0.31,2023-03-23 06:30:00,20.20399284,52.68916321
23021,2023-03-22 07:30:00,16.16,8906666.67,1.73,2023-03-22 07:30:00,20.13527107,51.95131493
23021,2023-03-22 11:30:00,16.48,11226666.67,1.8,2023-03-22 11:30:00,20.20851421,51.54803085
23021,2023-03-22 15:30:00,17.6,14986666.67,2.04,2023-03-22 15:30:00,20.07921105,49.38512611
23021,2023-03-22 18:30:00,19.2,24586666.67,1.84,2023-03-22 18:30:00,20.00054264,51.59686089
23021,2023-03-22 21:00:00,19.52,35706666.67,1.98,2023-03-22 21:00:00,19.86400414,53.57349396
23021,2023-03-23 07:30:00,34,91466666.67,1.84,2023-03-23 07:30:00,20.13165474,52.96043015
23021,2023-03-23 11:30:00,45.28,114933333.3,1.62,2023-03-23 11:30:00,19.86400414,53.8339119
23021,2023-03-23 14:30:00,54.24,158933333.3,1.53,2023-03-23 14:30:00,20.46421473,50.70383753
23021,2023-03-23 18:30:00,64.4,153600000,1.28,2023-03-23 18:30:00,20.19766235,53.36711172
23021,2023-03-23 21:00:00,70.88,173333333.3,1.18,2023-03-23 21:00:00,19.92910767,56.00766754
23021,2023-03-24 06:30:00,86.4,245066666.7,0.28,2023-03-24 06:30:00,20.26005459,48.77025414
23022,2023-03-22 07:30:00,18.48,7853333.33,1.73,2023-03-22 07:30:00,20.13527107,51.95131493
23022,2023-03-22 11:30:00,18.64,14613333.33,2.02,2023-03-22 11:30:00,20.20851421,51.54803085
23022,2023-03-22 15:30:00,19.84,20693333.33,2.05,2023-03-22 15:30:00,20.07921105,49.38512611
23022,2023-03-22 18:30:00,20.88,31386666.67,1.79,2023-03-22 18:30:00,20.00054264,51.59686089
23022,2023-03-22 21:00:00,21.84,40346666.67,2.01,2023-03-22 21:00:00,19.86400414,53.57349396
23022,2023-03-23 07:30:00,36.16,105866666.7,1.85,2023-03-23 07:30:00,20.13165474,52.96043015
23022,2023-03-23 11:30:00,47.04,147733333.3,1.63,2023-03-23 11:30:00,19.86400414,53.8339119
23022,2023-03-23 14:00:00,52.24,170933333.3,1.7,2023-03-23 14:00:00,20.61270142,51.26861608
23022,2023-03-23 18:30:00,61.84,182933333.3,1.3,2023-03-23 18:30:00,20.19766235,53.36711172
23022,2023-03-23 21:00:00,65.76,171733333.3,1.19,2023-03-23 21:00:00,19.92910767,56.00766754
23022,2023-03-24 06:30:00,83.2,228800000,0.37,2023-03-24 06:30:00,20.26005459,48.77025414
23023,2023-03-28 08:00:00,17.12,5802666.67,1.8,2023-03-28 08:00:00,20.13707924,50.19169617
