IPC_I_LOTE,IPC_I_FECHA,IPC_I_TURBIDEZ,IPC_I_VIABILIDAD,IPC_I_FECHA_APROX,IPC_I_TH_07781_TI1501.PV,IPC_I_TH_07781_MI1501.PV
23019,2023-03-21 06:30:00,32.8,134400000,2023-03-21 06:30:00,20.01320076,51.74876785
23020,2023-03-21 06:30:00,32.8,134400000,2023-03-21 06:30:00,20.01320076,51.74876785
23021,2023-03-22 06:30:00,27.8,115200000,2023-03-22 06:30:00,20.00144577,52.76330948
23022,2023-03-22 06:30:00,27.8,115200000,2023-03-22 06:30:00,20.00144577,52.76330948
23023,2023-03-27 07:30:00,18.2,10880000,2023-03-27 07:30:00,20.00144672,48.16623306
23023,2023-03-27 11:30:00,18.8,14960000,2023-03-27 11:30:00,20.2817564,46.92744446
23023,2023-03-27 15:30:00,19.2,19920000,2023-03-27 15:30:00,20.06835938,49.43536626
23023,2023-03-27 19:30:00,21.2,36480000,2023-03-27 19:30:00,19.90198135,50.57923095
23023,2023-03-28 06:30:00,31.7,106400000,2023-03-28 06:30:00,20.27271366,50.2567997
23024,2023-03-27 07:30:00,18.2,10880000,2023-03-27 07:30:00,20.00144672,48.16623306
23024,2023-03-27 11:30:00,18.8,14960000,2023-03-27 11:30:00,20.2817564,46.92744446
23024,2023-03-27 15:30:00,19.2,19920000,2023-03-27 15:30:00,20.06835938,49.43536626
23024,2023-03-27 19:30:00,21.2,36480000,2023-03-27 19:30:00,19.90198135,50.57923095
23024,2023-03-28 06:30:00,31.7,106400000,2023-03-28 06:30:00,20.27271366,50.2567997
23025,2023-03-28 07:30:00,17,5192000,2023-03-28 07:30:00,20.23925686,49.98734093
23025,2023-03-28 11:30:00,17.7,7888000,2023-03-28 11:30:00,20.20399284,49.63586673
23025,2023-03-28 15:30:00,18.1,12320000,2023-03-28 15:30:00,20.00144672,49.26757813
23025,2023-03-28 19:30:00,19,21280000,2023-03-28 19:30:00,20.17144012,50.39785767
23025,2023-03-29 06:30:00,27.6,84800000,2023-03-29 06:30:00,20.19856739,50.4629631
23026,2023-03-28 07:30:00,17,5192000,2023-03-28 07:30:00,20.23925686,49.98734093
23026,2023-03-28 11:30:00,17.7,7888000,2023-03-28 11:30:00,20.20399284,49.63586673
23026,2023-03-28 15:30:00,18.1,12320000,2023-03-28 15:30:00,20.00144672,49.26757813
23026,2023-03-28 19:30:00,19,21280000,2023-03-28 19:30:00,20.17144012,50.39785767
23026,2023-03-29 06:30:00,27.6,84800000,2023-03-29 06:30:00,20.19856739,50.4629631
23027,2023-04-03 14:00:00,18.9,4848000,2023-04-03 14:00:00,20.39207077,46.80627823
23027,2023-04-03 18:00:00,19,10160000,2023-04-03 18:00:00,19.93453407,48.03240585
23027,2023-04-04 06:30:00,21.9,24880000,2023-04-04 06:30:00,19.86400414,46.00513458
23027,2023-04-04 10:00:00,23.5,104800000,2023-04-04 10:00:00,20.26909637,42.62152863
23028,2023-04-03 14:00:00,18.9,4848000,2023-04-03 14:00:00,20.39207077,46.80627823
23028,2023-04-03 18:00:00,19,10160000,2023-04-03 18:00:00,19.93453407,48.03240585
23028,2023-04-04 06:30:00,21.9,24880000,2023-04-04 06:30:00,19.86400414,46.00513458
23028,2023-04-04 10:00:00,23.5,104800000,2023-04-04 10:00:00,20.26909637,42.62152863
23029,2023-04-17 08:20:00,18.4,5618666,2023-04-17 08:15:00,20.36856174,38.65330521
23029,2023-04-17 12:20:00,18.2,8586666,2023-04-17 12:15:00,20.34324265,39.04079819
23029,2023-04-17 16:20:00,19.3,13893333,2023-04-17 16:15:00,20.40834761,40.06437969
23029,2023-04-17 20:20:00,20,18106666,2023-04-17 20:15:00,20.09367704,43.40910721
23029,2023-04-18 06:15:00,28,96533333,2023-04-18 06:15:00,20.30526638,48.20240116
23030,2023-04-17 08:20:00,18.4,5618666,2023-04-17 08:15:00,20.36856174,38.65330521
23030,2023-04-17 12:20:00,18.2,8586666,2023-04-17 12:15:00,20.34324265,39.04079819
23030,2023-04-17 16:20:00,19.3,13893333,2023-04-17 16:15:00,20.40834761,40.06437969
23030,2023-04-17 20:20:00,20,18106666,2023-04-17 20:15:00,20.09367704,43.40910721
23030,2023-04-18 06:15:00,28,96533333,2023-04-18 06:15:00,20.30526638,48.20240116
23031,2023-04-17 08:20:00,17.6,5312000,2023-04-17 08:15:00,20.36856174,38.65330521
23031,2023-04-17 12:20:00,17.8,9173333,2023-04-17 12:15:00,20.34324265,39.04079819
23031,2023-04-17 16:20:00,18.9,12133333,2023-04-17 16:15:00,20.40834761,40.06437969
23031,2023-04-17 20:20:00,19.7,19973333,2023-04-17 20:15:00,20.09367704,43.40910721
23031,2023-04-18 06:15:00,28.1,105866666,2023-04-18 06:15:00,20.30526638,48.20240116
23032,2023-04-17 08:20:00,17.6,5312000,2023-04-17 08:15:00,20.36856174,38.65330521
23032,2023-04-17 12:20:00,17.8,9173333,2023-04-17 12:15:00,20.34324265,39.04079819
23032,2023-04-17 16:20:00,18.9,12133333,2023-04-17 16:15:00,20.40834761,40.06437969
23032,2023-04-17 20:20:00,19.7,19973333,2023-04-17 20:15:00,20.09367704,43.40910721
23032,2023-04-18 06:15:00,28.1,105866666,2023-04-18 06:15:00,20.30526638,48.20240116
23033,2023-04-24 14:00:00,17,7506666,2023-04-24 14:00:00,19.93272591,55.60257339
23033,2023-04-24 18:00:00,17,12960000,2023-04-24 18:00:00,19.93453407,57.89588936
