HC_LOTE,C_DATETIME,C_CTF0101.EN_PARCIAL,C_CTF0101.EN_TOTAL,C_D01780551.PV,C_D01906041.PV,C_D01916047.PV,C_D01916503.PV,C_D01919022.PV,C_ID_CENTRIFUGA,C_TH_06299_TI1402.PV,C_TH_06299_MI1402.PV,C_CENTRIFUGACION
23019,2023-03-23 07:45:00,0,0,27.56928974,500.805329,3.152025396,,6679.957544,17825,,,1
23019,2023-03-23 08:00:00,0,0,27.57322136,498.3724773,3.209781088,,6680.360567,17825,21.20883751,51.39108432,1
23019,2023-03-23 08:15:00,0,0,26.70637426,494.1375949,3.201298729,,6680.01159,17825,,,1
23019,2023-03-23 08:30:00,0,0,26.59513184,490.0960125,3.207873219,,6679.857069,17825,,,1
23019,2023-03-23 08:45:00,0,0,26.45372197,487.8782675,3.188136393,,6679.108244,17825,,,1
23019,2023-03-23 09:00:00,0,0,26.47511468,485.1737103,3.168634422,,6680.121766,17825,21.20883751,51.37570574,1
23019,2023-03-23 09:15:00,0,0,26.58853531,481.0195239,3.185788197,,6678.278679,17825,,,1
23019,2023-03-23 09:30:00,0,0,27.46515022,477.948997,3.184081726,,6679.528245,17825,,,1
23019,2023-03-23 09:45:00,0,0,27.37354872,474.5310115,3.23271288,,6679.334609,17825,,,1
23019,2023-03-23 10:00:00,0,0,26.27159602,471.0666503,3.200187542,,6678.639536,17825,21.17860468,50.68285956,1
23019,2023-03-23 10:15:00,0,0,27.60626102,465.8611866,3.201435616,,6680.694838,17825,,,1
23019,2023-03-23 10:30:00,0,1,26.66506265,496.7681794,3.031603694,,6678.829911,17825,,,1
23019,2023-03-23 12:15:00,0,0,26.73242841,255.3172593,3.177341881,,6680.006249,17825,,,2
23019,2023-03-23 12:30:00,0,0,26.17599662,252.2166308,3.291451482,,6680.056163,17825,,,2
23019,2023-03-23 12:45:00,0,0,26.30807823,255.1589299,3.248441652,,6678.796468,17825,,,2
23019,2023-03-23 13:00:00,0,0,26.669952,254.4149948,3.165384788,,6681.134266,17825,20.54963875,53.59534954,2
23020,2023-03-23 08:00:00,0,0,24.73222175,511.0317017,3.222744797,,6675.163273,14246,21.20883751,51.39108432,1
23020,2023-03-23 08:15:00,0,0,24.94794434,511.8236363,3.144565725,,6675.561143,14246,,,1
23020,2023-03-23 08:30:00,0,0,23.88336188,509.7602362,3.203611569,,6676.039713,14246,,,1
23020,2023-03-23 08:45:00,0,0,24.43666496,502.066159,3.217447689,,6677.031997,14246,,,1
23020,2023-03-23 09:00:00,0,0,25.17836231,506.2676628,3.215203043,,6678.288233,14246,21.20883751,51.37570574,1
23020,2023-03-23 09:15:00,0,0,23.50063566,504.3847493,3.21520634,,6676.489355,14246,,,1
23020,2023-03-23 09:30:00,0,0,24.91033661,500.4722975,3.208107109,,6678.4068,14246,,,1
23020,2023-03-23 09:45:00,0,0,24.36951824,497.4022021,3.217103916,,6678.516289,14246,,,1
23020,2023-03-23 10:00:00,0,0,24.60825248,494.2515582,3.203410582,,6677.67506,14246,21.17860468,50.68285956,1
23020,2023-03-23 10:15:00,0,0,23.96235089,490.6053309,3.204403539,,6677.76879,14246,,,1
23020,2023-03-23 10:30:00,0,1,23.91849998,0,-0.014750575,,6653.582638,14246,,,1
23020,2023-03-23 12:15:00,0,0,23.92030317,258.7056888,3.545359111,,6677.551716,14246,,,2
23020,2023-03-23 12:30:00,0,0,23.16916316,254.7166255,3.17496539,,6676.221411,14246,,,2
23020,2023-03-23 12:45:00,0,0,24.70796459,253.9853457,3.3212441,,6677.173807,14246,,,2
23020,2023-03-23 13:00:00,0,0,22.97858091,256.4948565,3.0931302,,6676.694886,14246,20.54963875,53.59534954,2
23020,2023-03-23 13:15:00,0,2,23.92755638,239.2654642,2.922548208,,6676.484554,14246,,,2
23020,2023-03-23 13:30:00,0,4,24.92323585,0,0.016038572,,6518.431966,14246,,,2
23021,2023-03-24 08:30:00,0,0,28.03996621,28.79171225,0.155872872,,6681.000162,17825,,,1
23021,2023-03-24 08:45:00,0,0,26.33431933,497.8567621,3.200033666,,6682.968524,17825,,,1
23021,2023-03-24 09:00:00,0,0,26.66922886,493.4027832,3.185586482,,6679.261719,17825,18.63154984,39.40103616,1
23021,2023-03-24 09:15:00,0,0,26.3822019,489.1186897,3.203656505,,6679.967949,17825,,,1
23021,2023-03-24 09:30:00,0,0,26.76223547,486.1702656,3.20891179,,6683.19155,17825,,,1
23021,2023-03-24 09:45:00,0,0,27.64374333,483.4537012,3.192457728,,6682.617125,17825,,,1
23021,2023-03-24 10:00:00,0,0,27.43185555,482.503613,3.210855247,,6682.698669,17825,18.9824233,39.07834924,1
23021,2023-03-24 10:15:00,0,0,27.56137095,480.7270892,3.207268053,,6680.453984,17825,,,1
23021,2023-03-24 10:30:00,0,0,26.40413544,478.0344722,3.204903622,,6678.192329,17825,,,1
23021,2023-03-24 10:45:00,0,0,26.43227751,481.3325656,3.203737299,,6679.261719,17825,,,1
23021,2023-03-24 11:00:00,0,0,26.65065263,478.2118164,3.192431058,,6681.684375,17825,19.60966873,36.1374297,1
23021,2023-03-24 11:15:00,0,0,27.54698633,473.9324495,3.196525942,,6679.450992,17825,,,1
23021,2023-03-24 11:30:00,0,0,26.6217146,502.745683,3.201084605,,6680.22434,17825,,,1
23021,2023-03-24 11:45:00,0,0,26.32048365,496.1433444,3.200985994,,6679.915783,17825,,,1
23021,2023-03-24 13:15:00,0,0,26.41722605,477.4744816,3.043782771,,6680.165493,17825,,,2
23021,2023-03-24 13:30:00,0,0,26.38579089,255.7330941,3.218795785,,6679.953041,17825,,,2
23021,2023-03-24 13:45:00,0,0,27.41960745,255.1693829,3.461646191,,6679.71948,17825,,,2
23021,2023-03-24 14:00:00,0,0,26.68192991,255.6531008,3.269758001,,6678.182828,17825,20.58625984,49.24532118,2
23021,2023-03-24 14:15:00,0,0,26.08800528,256.0643829,3.143285839,,6679.525923,17825,,,2
23021,2023-03-24 14:30:00,0,0,26.18013465,9.407440695,-0.012084758,,6689.463022,17825,,,2
23022,2023-03-24 08:15:00,0,0,33.32241584,660.0694336,0.021133481,,6686.258594,12912,,,1
23022,2023-03-24 08:30:00,0,0,32.39920026,506.9968634,3.247902101,,6676.307458,12912,,,1
23022,2023-03-24 08:45:00,0,0,32.97908475,504.8634946,3.276214839,,6675.728753,12912,,,1
23022,2023-03-24 09:00:00,0,0,32.07336635,501.9106073,3.242265775,,6677.938492,12912,18.63154984,39.40103616,1
23022,2023-03-24 09:15:00,0,0,32.40317725,498.8017114,3.334742019,,6678.878456,12912,,,1
23022,2023-03-24 09:30:00,0,0,32.29001507,497.0538067,3.211940351,,6680.373105,12912,,,1
23022,2023-03-24 09:45:00,0,0,32.79182932,493.2730596,3.231114701,,6679.273577,12912,,,1
23022,2023-03-24 10:00:00,0,0,33.45675162,491.6297537,3.107690237,,6680.759526,12912,18.9824233,39.07834924,1
23022,2023-03-24 10:15:00,0,0,31.89158663,487.8291329,3.65398947,,6677.882597,12912,,,1
23022,2023-03-24 10:30:00,0,1,33.36501909,470.8073761,2.996165812,,6676.848937,12912,,,1
23022,2023-03-24 10:45:00,0,1,33.01395821,480.7291504,3.126505588,,6675.494531,12912,,,1
23022,2023-03-24 11:00:00,0,1,32.81501037,475.6944336,3.598980868,,6675.494531,12912,19.60966873,36.1374297,1
23022,2023-03-24 11:15:00,0,1,33.6572675,472.2029306,3.051494745,,6675.412331,12912,,,1
23022,2023-03-24 11:30:00,0,1,32.74804332,106.2542663,2.096619925,,6683.973417,12912,,,1
23022,2023-03-24 13:15:00,0,0,32.02233859,257.4170782,3.208639542,,6677.179237,12912,,,2
23022,2023-03-24 13:30:00,0,0,33.0121898,247.6432255,2.943565981,,6678.734049,12912,,,2
23022,2023-03-24 13:45:00,0,0,31.76368507,260.5720389,3.037700231,,6677.831216,12912,,,2
23022,2023-03-24 14:00:00,0,0,31.8946879,228.9886575,3.259558967,,6678.561268,12912,20.58625984,49.24532118,2
23022,2023-03-24 14:15:00,0,2,31.98110607,563.9399775,0.555304801,,6681.402561,12912,,,2
23022,2023-03-24 14:30:00,0,0,34.84179529,1290.21266,2.441917772,,6668.992856,12912,,,2
23023,2023-03-30 09:30:00,0,0,100,0,0.409782385,,0,17825,,,1
23023,2023-03-30 09:45:00,0,0,100,0,0.409781364,,0,17825,,,1
23023,2023-03-30 10:00:00,0,0,28,0,0.030316401,,6468.669903,17825,18.6559639,47.59519923,1
23023,2023-03-30 10:15:00,0,0,27.10261926,515.0173828,3.111561371,,6682.760156,17825,,,1
23023,2023-03-30 10:30:00,0,0,26.90600192,521.1750109,3.236300772,,6682.609636,17825,,,1
23023,2023-03-30 10:45:00,0,0,27.05428701,519.6172368,3.210596974,,6683.331381,17825,,,1
23023,2023-03-30 11:00:00,0,0,27.9330414,516.2785156,3.202716522,,6679.775741,17825,19.01485212,49.06129472,1
23023,2023-03-30 11:15:00,0,0,28.54440814,513.8870141,3.199526444,,6680.584846,17825,,,1
23023,2023-03-30 11:30:00,0,0,27.32961621,511.5928094,3.201966096,,6679.166766,17825,,,1
23023,2023-03-30 11:45:00,0,0,28.34385221,508.2825449,3.214344646,,6680.422064,17825,,,1
23023,2023-03-30 12:00:00,0,0,27.1369536,507.4010926,3.221420613,,6679.804151,17825,19.32625607,49.46443327,1
23023,2023-03-30 12:15:00,0,0,28.11690036,505.4315729,3.213160359,,6679.60041,17825,,,1
23023,2023-03-30 12:30:00,0,0,28.25525116,502.6041504,3.189334677,,6681.146094,17825,,,1
23023,2023-03-30 13:30:00,0,1,28.30945175,497.578279,1.858286048,,6682.231029,17825,,,2
23023,2023-03-30 13:45:00,0,0,26.70000076,0,0.015968142,,2566.918555,17825,,,2
23023,2023-03-30 14:00:00,0,0,100,0,0.001773977,,0,17825,19.98809814,50.10451386,2
23023,2023-03-30 14:15:00,0,0,100,0,-0.000212871,,0,17825,,,2
23023,2023-03-30 14:30:00,0,0,26.97739803,0,0.020903437,,3656.946026,17825,,,2
23023,2023-03-30 14:45:00,0,0,27.70662308,255.5196914,3.079903503,,6679.724884,17825,,,2
23024,2023-03-30 07:15:00,0,0,100,0,0.4265625,,0,14246,,,1
23024,2023-03-30 07:30:00,0,0,25.20634448,0,0.023216128,,1110.624414,14246,,,1
23024,2023-03-30 07:45:00,0,0,25.39634707,316.3715792,2.219260173,,6680.039601,14246,,,1
23024,2023-03-30 08:00:00,0,0,25.5798225,496.3994524,3.190775437,,6674.012402,14246,18.64744709,39.63420076,1
23024,2023-03-30 08:15:00,0,0,23.96904755,493.5763672,3.205212792,,6675.764063,14246,,,1
23024,2023-03-30 08:30:00,0,0,25.21107473,493.9576991,3.206983831,,6677.154383,14246,,,1
23024,2023-03-30 08:45:00,0,0,25.11125983,490.3437319,3.182504114,,6675.643181,14246,,,1
23024,2023-03-30 09:00:00,0,0,25.33337397,489.7156711,3.175135506,,6675.459525,14246,18.50947571,43.71387948,1
23024,2023-03-30 09:15:00,0,0,23.70095632,487.1160208,3.198892442,,6676.61171,14246,,,1
23024,2023-03-30 09:30:00,0,0,24.56299215,482.9352507,3.207739725,,6676.041148,14246,,,1
23024,2023-03-30 09:45:00,0,0,24.75868217,492.1624541,3.206293508,,6675.062967,14246,,,1
23024,2023-03-30 10:00:00,0,0,24.21445766,486.7977841,3.223681438,,6675.274662,14246,18.6559639,47.59519923,1
23024,2023-03-30 11:15:00,0,0,25,0,0.025826505,,2711.044859,14246,,,2
23024,2023-03-30 11:30:00,0,0,29.5118201,0,0.025324434,,23.75926328,14246,,,2
23024,2023-03-30 11:45:00,0,0,100,0,0.006419726,,0,14246,,,2
23024,2023-03-30 12:00:00,0,0,100,0,0.006139453,,0,14246,19.32625607,49.46443327,2
23024,2023-03-30 12:15:00,0,0,24.4461745,0,0.024069943,,5056.432618,14246,,,2
23024,2023-03-30 12:30:00,0,0,24.65616244,256.7423517,3.328502938,,6673.93045,14246,,,2
23024,2023-03-30 12:45:00,0,0,23.93024959,256.0839456,3.147285548,,6670.49086,14246,,,2
23025,2023-03-31 06:45:00,0,0,100,0,0.409201431,,0,17825,,,1
23025,2023-03-31 07:00:00,0,0,100,0,0.409767165,,0,17825,20.16029748,41.77387584,1
23025,2023-03-31 07:15:00,0,0,100,0,0.410934479,,0,17825,,,1
23025,2023-03-31 07:30:00,0,0,24.81466093,0,0.019694881,,6247.078622,17825,,,1
23025,2023-03-31 07:45:00,0,0,24.87863336,0,-0.003735683,,6691.410764,17825,,,1
23025,2023-03-31 08:00:00,0,0,25.13029115,506.8941486,3.294305689,,6679.35233,17825,20.16964324,43.66038917,1
23025,2023-03-31 08:15:00,0,0,26.4027397,506.6788744,3.207193953,,6680.591048,17825,,,1
23025,2023-03-31 08:30:00,0,0,26.17278459,501.5135369,3.24517011,,6679.296636,17825,,,1
23025,2023-03-31 08:45:00,0,0,25.73323526,495.0858801,3.164514545,,6679.511821,17825,,,1
23025,2023-03-31 09:00:00,0,0,25.40630693,490.9120919,3.189855031,,6680.465144,17825,19.90144156,45.40613559,1
